audio_file,language,full_path,source_audio,text
aug_016650.wav,hi,D:\Gyan\data\gan_augmented\hindi\wavs\aug_016650.wav,016650.wav,अदरक में एन्टी सेप्टिक और एन्टी आक्सिडेंट गुण होते हैं जो प्राकृतिक सौन्दर्य देने के काम आता है
aug_015096.wav,hi,D:\Gyan\data\gan_augmented\hindi\wavs\aug_015096.wav,015096.wav,हम इन सभी पाठकों का धन्यवाद करते हुए यही निवेदन करना चाहेंगे कि हिन्दयुग्म को इसी प्रकार से पढ़ते हुए हमारा प्रोत्साहन करते रहें।
aug_014718.wav,hi,D:\Gyan\data\gan_augmented\hindi\wavs\aug_014718.wav,014718.wav,उनके द्वारा प्रस्तुत किये गये साहित्य को आर्षेय कहा जाता है।
aug_000284.wav,hi,D:\Gyan\data\gan_augmented\hindi\wavs\aug_000284.wav,000284.wav,आर्थिक अस्थिरता के दौर से गुजर रहे जिम्बाब्वे में अब तख्ता पलट के बादल मंडराने लगे हैं
aug_014545.wav,hi,D:\Gyan\data\gan_augmented\hindi\wavs\aug_014545.wav,014545.wav,अतः उनके शरीर पर लगने वाला दाब कम हो जाता है और वे बोझ को आसानी से उठा सकते हैं| ध्यान दीजिए कि उपरोक्त व्यंजक में क्षेत्रफल ‘हर’ में है|
aug_004898.wav,hi,D:\Gyan\data\gan_augmented\hindi\wavs\aug_004898.wav,004898.wav,यहाँ हम देखते हैं कि सभी अमेरिकी समाचार हरे रंग से चिह्नित हैं|
aug_002996.wav,mr,D:\Gyan\data\gan_augmented\marathi\wavs\aug_002996.wav,002996.wav,तो व बोधिसत्व परस्परांच्या सल्ल्याने कोठे जायचे ते ठरवून व्यापार करीत.
aug_007646.wav,mr,D:\Gyan\data\gan_augmented\marathi\wavs\aug_007646.wav,007646.wav,लोकांनी त्या जुन्या ज्ञानाला नव तेज दिलं.
aug_002011.wav,mr,D:\Gyan\data\gan_augmented\marathi\wavs\aug_002011.wav,002011.wav,राजवाडयाच्या मोहात तो आपल्या झऱ्याला आणि सृष्टिला विसरून गेला होता.
aug_007718.wav,mr,D:\Gyan\data\gan_augmented\marathi\wavs\aug_007718.wav,007718.wav,"ठीक आहे, मीही या ढोंगी ऋषीचा अपमान करीन!"
aug_008013.wav,mr,D:\Gyan\data\gan_augmented\marathi\wavs\aug_008013.wav,008013.wav,पुष्कळ स्त्रियांचा या दिवशी उपवास असतो.
aug_005917.wav,mr,D:\Gyan\data\gan_augmented\marathi\wavs\aug_005917.wav,005917.wav,"दहासहा ऑफ़िसमध्ये काम करणारी स्त्री सगळ्यानांच खुप सुखी, आनंदी वाटते."
aug_009970.wav,mr,D:\Gyan\data\gan_augmented\marathi\wavs\aug_009970.wav,009970.wav,"तेव्हा तो म्हणाला, `ह्याचे उत्तर मला देता येत नाही."
aug_000605.wav,mr,D:\Gyan\data\gan_augmented\marathi\wavs\aug_000605.wav,000605.wav,दासीपुत्र असलास तरी तू ब्राह्मणच असला पाहिजेस.
aug_007696.wav,mr,D:\Gyan\data\gan_augmented\marathi\wavs\aug_007696.wav,007696.wav,शमीक ऋषी महान तपस्वी आणि परोपकारी वृत्तीचे होते.
aug_008260.wav,mr,D:\Gyan\data\gan_augmented\marathi\wavs\aug_008260.wav,008260.wav,"परंतु तो उठला, ते पूर्वजांचे घर सोडून तो निघाला."
