audio_file,text,language,source_audio,source_type
aug_000842.wav,which recommended restrictions upon the number of visitors admitted.,en,000842.wav,gan_augmented
aug_004478.wav,"Below he met another woman and a girl, both of whom were terrified at his appearance, but",en,004478.wav,gan_augmented
aug_008060.wav,"Motorcycles. -- Four motorcycles, two on each side, flanked the rear of the Presidential car.",en,008060.wav,gan_augmented
aug_007855.wav,"The second, the Women's Building at the State Fair Grounds,",en,007855.wav,gan_augmented
aug_011370.wav,"extensive investigation was not able to connect Oswald with that address, although it did develop the fact",en,011370.wav,gan_augmented
aug_002603.wav,and prominent in the criminal annals of Newgate in these later years will be found numerous remarkable instances of this class of offense --,en,002603.wav,gan_augmented
aug_000336.wav,"Neild found at his visit to Newgate in 1810,",en,000336.wav,gan_augmented
aug_008380.wav,Concern that the Vice President might also be a target for assassination prompted the Secret Service agents to urge him to leave the hospital and return to Washington immediately.,en,008380.wav,gan_augmented
aug_005732.wav,"No doubt wiser counsels prevailed with Lord John Russell,",en,005732.wav,gan_augmented
aug_009417.wav,"the transfer was conclusively identified as having been issued by Cecil J. McWatters, a busdriver for the Dallas Transit Co.",en,009417.wav,gan_augmented
aug_006139.wav,"modifying it where it needs modification and finally making recommendations to the Congress,",en,006139.wav,gan_augmented
aug_002784.wav,"When brought to trial he hardly realized his position,",en,002784.wav,gan_augmented
aug_001794.wav,generally sided with his opponents. Nevertheless the inspectors summed up against him.,en,001794.wav,gan_augmented
aug_001156.wav,The objects it had in view were set forth in one of its earliest meetings.,en,001156.wav,gan_augmented
aug_003414.wav,"An inquest was held on the body, which was identified as that of an Italian boy,",en,003414.wav,gan_augmented
aug_009817.wav,"was shipped on March 20, 1963, to A. J. Hidell, Post Office Box 2915, Dallas, Texas.",en,009817.wav,gan_augmented
aug_012224.wav,"Hosty took the necessary steps to have the Dallas office of the FBI, rather than the New Orleans office, reestablished as the office with principal responsibility.",en,012224.wav,gan_augmented
aug_012685.wav,without authorizing it to arrest anyone who harms him. The same provisions authorize the Service to arrest without warrant,en,012685.wav,gan_augmented
aug_005150.wav,"There was a deep wound just over the ear, the skull was fractured, and there were several other blows and wounds on the head.",en,005150.wav,gan_augmented
aug_008321.wav,"This was verified by Admiral Burkley, the President's physician, who arrived at the hospital after emergency treatment was underway and concluded that, quote,",en,008321.wav,gan_augmented
aug_012027.wav,The several military intelligence agencies reported crank mail and similar threats involving the President.,en,012027.wav,gan_augmented
aug_000750.wav,"So unjust and unequal was the system, that the allowance to convicted criminals was better than that of the innocent debtor,",en,000750.wav,gan_augmented
aug_000042.wav,"and though more Roman than that, yet scarcely more like the complete Roman type of the earliest printers of Rome.",en,000042.wav,gan_augmented
aug_001127.wav,"chained to the rest. As the miserable crew filed through the public streets, exposed to the scornful gaze of every passenger,",en,001127.wav,gan_augmented
aug_006755.wav,"He affirms that living beings have been subdivided from the earliest times into animated beings, which possess sense and motion,",en,006755.wav,gan_augmented
aug_009918.wav,"As McDonald started to search Oswald's waist for a gun, he heard him say, quote, Well, it's all over now, end quote.",en,009918.wav,gan_augmented
aug_009834.wav,He was wearing a zipper jacket which he had not been wearing moments before when he had arrived home.,en,009834.wav,gan_augmented
aug_004854.wav,"Miller, the Chelsea murderer, who packed his victim's body in a box, and tried to send it by parcels delivery, tried to kill himself,",en,004854.wav,gan_augmented
aug_002176.wav,Some years later an eye-witness published a graphic account of one of these scenes.,en,002176.wav,gan_augmented
aug_008914.wav,"On the day of the assassination, the Dallas police obtained a sample of wrapping paper and tape",en,008914.wav,gan_augmented
aug_009917.wav,"Oswald rose from his seat, bringing up both hands.",en,009917.wav,gan_augmented
aug_001965.wav,both offenses and punishments affording a sufficient index to the practices going forward; and they wind up by declaring,en,001965.wav,gan_augmented
aug_005119.wav,"They were an abject, miserable crew, cowards at heart; but some, especially Lopez, continued bloodthirsty to the last.",en,005119.wav,gan_augmented
aug_003925.wav,"The actual execution, which took place at another prison than Newgate, is rather beyond the scope of this work.",en,003925.wav,gan_augmented
aug_007460.wav,"In that night, so the story ends, ""Belshazzar, the Chaldean King, was slain.""",en,007460.wav,gan_augmented
aug_003880.wav,and they had given information to the police.,en,003880.wav,gan_augmented
aug_002004.wav,"were told that the plan had been well considered, and would be persevered in.",en,002004.wav,gan_augmented
aug_009013.wav,"When the FBI in Washington received the cartons, the remaining prints, including Oswald's on the Rolling Readers carton,",en,009013.wav,gan_augmented
aug_004111.wav,Cole now suspended payment.,en,004111.wav,gan_augmented
aug_006381.wav,It is time to provide a smashing answer for those cynical men who say that a democracy cannot be honest and efficient.,en,006381.wav,gan_augmented
aug_010194.wav,"told Robert Oswald, Lee Harvey Oswald's brother, that Oswald had once threatened to shoot former Vice President Richard M. Nixon.",en,010194.wav,gan_augmented
aug_005364.wav,This will was a deliberate forgery.,en,005364.wav,gan_augmented
aug_005850.wav,also their constant employment in labor appropriate to their condition.,en,005850.wav,gan_augmented
aug_011257.wav,As a result Oswald was not hired.,en,011257.wav,gan_augmented
aug_010582.wav,"Oswald's withdrawn tendencies and solitary habits were thought to be the result of, quote,",en,010582.wav,gan_augmented
aug_005414.wav,The last great case of fraud upon the Bank of England will fitly close this branch of the criminal records of Newgate.,en,005414.wav,gan_augmented
aug_011278.wav,"She said that she kept the note to use against him, quote, if something like that should be repeated again, end quote.",en,011278.wav,gan_augmented
aug_009934.wav,"testified regarding the arrest of Oswald, as did the various police officers who participated in the fight.",en,009934.wav,gan_augmented
aug_008981.wav,These two small cartons had been moved from a stack about three aisles away.,en,008981.wav,gan_augmented
aug_003638.wav,whose ship brought home a mixed cargo from Bahia and other ports.,en,003638.wav,gan_augmented
aug_008762.wav,"Oswald's arrival at the Depository Building on November 22, carrying a long and bulky brown paper package,",en,008762.wav,gan_augmented
aug_002702.wav,and there seems to have been good reason for supposing that he was a greater villain than any of those arraigned.,en,002702.wav,gan_augmented
aug_012024.wav,"to Secret Service locally, end quote.",en,012024.wav,gan_augmented
aug_012687.wav,The Commission agrees with the Secret Service that it should be authorized to make arrests without warrant,en,012687.wav,gan_augmented
aug_012907.wav,साबित ने भटकल में ही एमबीए की पढ़ाई के साथ इस साल कुरान हिफ्ज़ भी मुकम्मल किया।,hi,012907.wav,gan_augmented
aug_013812.wav,"सुदम अर्बुद सामान्यतया अपने मूल स्थान तक सीमित रहते हैं, शरीर के दूसरे भागों में नहीं फैलते तथा इनसे मामूली क्षति होती है|",hi,013812.wav,gan_augmented
aug_005630.wav,"इंटरनेट के लिए किसी पब्लिक टर्मिनल जैसे साइबर कैफे, ऑफिस आदि में नेट का इस्तेमाल करने के बाद प्रॉपर लॉग आउट जरूर करें।",hi,005630.wav,gan_augmented
aug_014718.wav,उनके द्वारा प्रस्तुत किये गये साहित्य को आर्षेय कहा जाता है।,hi,014718.wav,gan_augmented
aug_015096.wav,हम इन सभी पाठकों का धन्यवाद करते हुए यही निवेदन करना चाहेंगे कि हिन्दयुग्म को इसी प्रकार से पढ़ते हुए हमारा प्रोत्साहन करते रहें।,hi,015096.wav,gan_augmented
aug_020950.wav,प्रदेश के सीएम सिद्धारमैया लग्जूरिअस लाइफ स्टाइल के लिए लगातार विरोधियों के निशाने पर बने रहते हैं।,hi,020950.wav,gan_augmented
aug_007373.wav,अहमदनगर के हुसैन निजामशाह की पराक्रमी बेटी चाँदबीबी ने वीरतापूर्वक युद्ध किया । उस समय निजामशाही के सरदारों में फूट पैदा हुई ।,hi,007373.wav,gan_augmented
aug_003621.wav,"ब्राज़ील में वृष्टि, वनस्पति और प्राणियों के प्रकार भू-आकृति की आड़ी छेद दिखाई गई है|",hi,003621.wav,gan_augmented
aug_021644.wav,"दूरदर्शन द्वारा प्रसारित रामायण, महाभारत जैसे पौराणिक धारावाहिकों तथा भारत-एक खोज, राजा शिवछत्रपति जैसे ऐतिहासिक धारावाहिकों ने बहुत बड़े दर्शक वर्ग को अपनी ओर आकर्षित किया|",hi,021644.wav,gan_augmented
aug_018703.wav,इस इकाई में उपर्युक्त पहलुओं पर विशेष ध्यान देते हुए वर्णन किया गया है|,hi,018703.wav,gan_augmented
aug_006455.wav,परंतु जनक प्राप्त विभिन्न जीन के संयुक्त होने के परिणामस्वरूप लक्षण भिन्न भी हो सकते हैं|,hi,006455.wav,gan_augmented
aug_012070.wav,और इसी विरोध के चलते अमेरिकी राष्ट्रपति ने रुस के साथ परमाणु समझौता रद्द् करने का निर्णय ले लिया है,hi,012070.wav,gan_augmented
aug_012440.wav,कोई पृष्ठ पूर्णतः चिकना नहीं होता उसमें कुछ अनियमितताएँ अवश्य होती हैं| आपने अटैचियों तथा अन्य भारी सामानों पर रोलर जड़े देखे होंगे|,hi,012440.wav,gan_augmented
aug_017406.wav,भूकम्प क्या होता है ? जब यह आता है तो क्या होता है ? इसके प्रभाव को कम से कम करने के लिए हम क्या कर सकते हैं ?,hi,017406.wav,gan_augmented
aug_007434.wav,अतः वे तड़ित से डरते थे और सोचते थे कि उन पर भगवान के क्रोध के कारण यह हुआ है|,hi,007434.wav,gan_augmented
aug_009009.wav,कहानी की बात करें तो चुलबुल पांडे रज्जो के साथ सुकून की जिंदगी जी रहा है,hi,009009.wav,gan_augmented
aug_019725.wav,बाहर की ओर दो हिस्सों में गायों के स्वच्छंद विचरण की जगह है जहां उन्हें हरा चारा खिलाया जाता है,hi,019725.wav,gan_augmented
aug_003402.wav,"यह आधार एक भारतीय लड़की के नाते तुम्हारे व्यक्तित्व का अटूट हिस्सा है, इसलिए|",hi,003402.wav,gan_augmented
aug_011275.wav,इनके अलावा दूरदर्शन न्यूज़ के कैमरामैन अच्युतानंद की भी इस हमले में मौत हो गई थी,hi,011275.wav,gan_augmented
aug_005731.wav,जिस प्रकार हैरान तथा बांठड़ा लोकनाट्यों के माध्यम से सामाजिक कुरीतियों को उजागर करके उन्हें दूर करने का प्रयास किया जाता था।,hi,005731.wav,gan_augmented
aug_009296.wav,"टेनिस स्टार नोवाक जोकोविच अपने बेहतरीन खेल के लिए सुर्ख़ियों में रहते हैं, लेकिन इस बार ख़बरे उनकी शादीशुदा ज़िंदगी को लेकर हैं।",hi,009296.wav,gan_augmented
aug_003890.wav,इसका जीवाणु कई माह तक कुत्ते व घर की वस्तुओं से चिपका रहता है,hi,003890.wav,gan_augmented
aug_007153.wav,"मादा के शरीर के अंदर होने वाले निषेचन को आंतरिक निषेचन कहते हैं| यह मनुष्य एवं अन्य जंतुओं जैसे कि मुर्गी, गाय एवं कुत्ते इत्यादि में होता है|",hi,007153.wav,gan_augmented
aug_003920.wav,सरकार उत्तर पूर्व क्षेत्र और जम्मू एवं कश्मीर में इन्ट्रारीजन कनेक्टिविटी और सीमावर्ती बुनियादी ढाँचे को सुधारने पर विशेष जोर देगी,hi,003920.wav,gan_augmented
aug_000218.wav,किसी भी विषय में बुद्धि लगाने से पर्तें पर पर्तें खुलती जाती हैं उनकी मेधा की ।,hi,000218.wav,gan_augmented
aug_010761.wav,‘तुका म्हणे तोचि संत। सोशी जगाचे आघात ।’ इन शब्दों में संत तुकाराम ने सच्चे संत के लक्षण बताए हैं ।,hi,010761.wav,gan_augmented
aug_015965.wav,नारियल का वर्णन इब्न बतूता इस प्रकार करता हैः|,hi,015965.wav,gan_augmented
aug_000284.wav,आर्थिक अस्थिरता के दौर से गुजर रहे जिम्बाब्वे में अब तख्ता पलट के बादल मंडराने लगे हैं,hi,000284.wav,gan_augmented
aug_005551.wav,इन दोनों छिद्रों में एक धागा पिरोइए| गत्ते के एक ओर एक पिंजरा तथा दूसरी ओर एक पक्षी बनाइए या इनके चित्र चिपकाइए|,hi,005551.wav,gan_augmented
aug_014545.wav,अतः उनके शरीर पर लगने वाला दाब कम हो जाता है और वे बोझ को आसानी से उठा सकते हैं| ध्यान दीजिए कि उपरोक्त व्यंजक में क्षेत्रफल ‘हर’ में है|,hi,014545.wav,gan_augmented
aug_000083.wav,"एक्सिस ब्लू चिप फंड इस तरह की म्यूचुअल फंड योजना है, जो बड़ी और प्रतिष्ठित कंपनियों में ही निवेश करती है",hi,000083.wav,gan_augmented
aug_000608.wav,घूंट घूंट पीने से यह छालों की भी जलन शांत करेगा और पेट की गर्मी भी शांत करेगा,hi,000608.wav,gan_augmented
aug_000932.wav,नैनाटिक्कर पच्छाद तहसील के प्रमुख धार्मिक स्थल देवता भूर्शिंग महादेव परिसर में दो दिवसीय मेले का शुभारंभ सोमवार को हुआ।,hi,000932.wav,gan_augmented
aug_005270.wav,आज दौड़ती भागती जिंदगी में मनुष्य रोज ही न जाने कितनी जद्दोजहद से रूबरू होता है।,hi,005270.wav,gan_augmented
aug_015310.wav,जल्दी ही निक्यांका अब एक टीवी शो में साथ नज़र आने वाले हैं।,hi,015310.wav,gan_augmented
aug_021794.wav,"फिल्म में सलमान खान के अलावा कैटरीना कैफ, दिशा पटानी, सुनील ग्रोवर और तब्बू जैसे सितारें भी मुख्य भूमिका में हैं",hi,021794.wav,gan_augmented
aug_010632.wav,पैनासोनिक इंडिया के व्यापार प्रमुख मोबिलिटी डिविजन पंकज राणा ने बताया कि दोनों स्मार्टफोन एक्सक्लूसिव ढंग से फ्लिपकार्ट पर बिक्री के लिए उपलब्ध होंगे।,hi,010632.wav,gan_augmented
aug_016275.wav,चारों तरफ खुशियाँ झूमती थीं| चारों तरफ गीत गूँजते थे| इतने में साधुओं की एक मंडली शहर के अंदर दाखिल हुई|,hi,016275.wav,gan_augmented
aug_007251.wav,इस नाटक के कारण संपूर्ण लिखित संहिता वाले नाटकों की परंपरा प्रारंभ हुई|,hi,007251.wav,gan_augmented
aug_007217.wav,कोलकाता के वेरिएबल एनर्जी साइक्लोट्रोन सेंटर में मेडिकल साइक्लोट्रॉन सुविधा साइक्लोन का परिचालन शुरू हो गया है ।,hi,007217.wav,gan_augmented
aug_019037.wav,उपरोक्त महत्त्वपूर्ण प्वांइट से इतर आवेदकों से आग्रह है कि वो सिविल सेवा प्रीलिम्स परीक्षा के पिछले प्रश्नपत्रों को भी देख लें।,hi,019037.wav,gan_augmented
aug_003926.wav,इस पद्धती में लोहा या इस्पात का क्षरण रोकने के लिए उस पर जस्ते की पतली पर्त चढ़ाई जाती हैं|,hi,003926.wav,gan_augmented
aug_008438.wav,इनका कहना है कि कुफ्टाधार में तीन दिन बाद पानी आता है,hi,008438.wav,gan_augmented
aug_016693.wav,इसके विपरीत अमेज़न के मुहाने पर अनेक द्वीप तैयार हो गए हैं। महासागर के तट के पास अनेक द्वीप हैं। ,hi,016693.wav,gan_augmented
aug_004353.wav,बैलों के जोड़े के सहारे खींचे जाने वाले बरमे का इस्तेमाल बीज बोने के लिए किया जाता था|,hi,004353.wav,gan_augmented
aug_017631.wav,"बिल्गी से भाजपा के विधायक निराणी, येडियूरप्पा की पिछली सरकार में भी उद्योग मंत्री रहे थे",hi,017631.wav,gan_augmented
aug_006941.wav,"इस किनारे पर माराजो द्वीप, माराजो की खाड़ी और साओ मारकोस की खाड़ी है। माराजो एक बड़ा तटीय द्वीप है।",hi,006941.wav,gan_augmented
aug_019844.wav,पुरुष एवं महिलाएँ सभी मिलकर इस पर्व को मनाते हैं|,hi,019844.wav,gan_augmented
aug_018495.wav,"केवल उनकी डोर मजबूत करना चाहती हूँ कि अपनी किसी ऊँची उड़ान में वे लड़खड़ा न जाएँ| इसलिए कहना चाहती हूँकि ‘उड़ो बेटी, उड़ो, पर धरती पर निगाह रखकर'|",hi,018495.wav,gan_augmented
aug_021081.wav,"अब इसका आधार तथ्यों की प्रासंगिकता व प्रामाणिकता, विवेकपूर्ण, निष्पक्ष, निष्कपट, तर्कसंगत व पारदर्शी विवेचन नहीं रह गया है।",hi,021081.wav,gan_augmented
aug_010740.wav,यदि दो समतल दर्पणों को संयोजनों में उपयोग करें तो क्या होगा ?,hi,010740.wav,gan_augmented
aug_016375.wav,अरब सागर के द्वीप समूह को लक्षद्वीप कहते हैं और बंगाल की खाड़ी में स्थित द्वीपों को अंडमान एवं निकोबार,hi,016375.wav,gan_augmented
aug_020939.wav,जल्द ही इस प्रकार का प्रयोग मध्यप्रदेश में भी देखने को मिलेगा।,hi,020939.wav,gan_augmented
aug_001440.wav,बेंझीन की संरचना में छह कार्बन परमाणों के वलय में एक के बाद एक ऐसे तीन दुहरे बंध होते हैं|,hi,001440.wav,gan_augmented
aug_016650.wav,अदरक में एन्टी सेप्टिक और एन्टी आक्सिडेंट गुण होते हैं जो प्राकृतिक सौन्दर्य देने के काम आता है,hi,016650.wav,gan_augmented
aug_006041.wav,"शनिवार को दो शवों की आंख, कान व नाक चूहे, नेवला व छछूंदरों द्वारा कुतरे जाने का मामला एक बार फिर प्रकाश में आया।",hi,006041.wav,gan_augmented
aug_002753.wav,"विद्युत उपकरणों और तेलों में लगी आग को नियंत्रित करने के लिए जल का उपयोग नहीं किया जाता| दहन विभिन्न प्रकार के हैं, जैसे - तीव्र दहन, स्वतः दहन, विस्फोट, आदि|",hi,002753.wav,gan_augmented
aug_009707.wav,"दोस्तों ,जैसा की आपको मालूम होगा कि हमारे देश भारत में वर्षां ऋतु का मौंसम जुलाई से प्रारम्भ होता है।",hi,009707.wav,gan_augmented
aug_001300.wav,"हालांकि, उन्हें अपने दो महत्वपूर्ण खिलाड़ियों जॉन आर्ने रिसे और हैंज मुल्डर की कमी खलेगी, जो अब चेन्नइयन की टीम से खेल रहे हैं।",hi,001300.wav,gan_augmented
aug_009046.wav,"दूसरा, जीवों और पर्यावरण के बीच फॉस्फोरस का गैसीय विनिमय बिल्कुल नगण्य होता है|",hi,009046.wav,gan_augmented
aug_011841.wav,सबसे ज्यादा प्रभाव अंग्रेजी एवं आधुनिक शिक्षा प्राप्त समाज के सम्भ्रान्त हिस्से पर पड़ा।,hi,011841.wav,gan_augmented
aug_004506.wav,"भारत में मध्य प्रदेश, उत्तर प्रदेश, बिहार, उत्तराखंड, कर्नाटक, आंध्र प्रदेश और तेलंगाना राज्यों में गुफाचित्रोंवाले अनेक स्थान हैं|",hi,004506.wav,gan_augmented
aug_018010.wav,यह गंध एल्कोहल की है जो चीनी के एल्कोहल में परिवर्तित होने के कारण बना है|,hi,018010.wav,gan_augmented
aug_008766.wav,भारतीय अंतरिक्ष अनुसंधान संगठन इसरो अंतरिक्ष विभाग अंवि का अनुसंधान एवं विकास स्कंध है और राष्ट्रीय अंतरिक्ष कार्यक्रम के कार्यान्वयन के लिए उत्तरदायी है।,hi,008766.wav,gan_augmented
aug_004898.wav,यहाँ हम देखते हैं कि सभी अमेरिकी समाचार हरे रंग से चिह्नित हैं|,hi,004898.wav,gan_augmented
aug_002409.wav,अपने ट्विंकल टोज के लिए प्रसिद्ध डावर भारत में जैज और पाश्चात्य डांस को लोकप्रिय बनाने के लिए जाने जाते हैं।,hi,002409.wav,gan_augmented
aug_015180.wav,"तुम मॉन्स्टर किसी स्त्री के पुत्र, भाई, पति या पिता नहीं हो सकते ।",hi,015180.wav,gan_augmented
aug_007471.wav,पता लगाइए कि क्या मैदानी इलाकों में रहने वाले लोगों की तुलना में उन जनजातियों में सामान्यत लाल रुधिर कोशिका की संख्या ज्यादा होती हैं|,hi,007471.wav,gan_augmented
aug_014332.wav,"बस्ती एक तैराकी और मनोरंजन केंद्र, कई चर्चों, रोटरी स्केट पार्क, और एक सार्वजनिक पुस्तकालय में शामिल है।",hi,014332.wav,gan_augmented
aug_010437.wav,उसके इस विवेचन के परिणामस्वरूप अनेक दार्शनिकों को यह विश्वास हुआ कि यद्यपि इतिहास की अध्ययन पद्धति विज्ञान की पद्धतियों की तुलना में भिन्न है; फिर भी उसकी गुणवत्ता कम नहीं है ।,hi,010437.wav,gan_augmented
aug_010551.wav,"विदर्भ में ऋद्धिपुर नामक स्थान इस पंथ का महत्त्वपूर्ण केंद्र है । यह पंथ पंजाब, अफगानिस्तान जैसे दूरस्थ प्रदेशों में भी पहुँचा था ।",hi,010551.wav,gan_augmented
aug_016445.wav,"दरअसल, सियासत की इस महान और कामयाब शख़्सियत को अपनी निजी ज़िन्दगी में कई ग़म मिले थे।",hi,016445.wav,gan_augmented
aug_008517.wav,"वन्यजंतु अभ्यारण्य, राष्ट्रीय उद्यान, जैवमण्डल संरक्षित क्षेत्र इत्यादि पौधों और जंतुओं के लिए संरक्षित एवं सुरक्षित क्षेत्र हैं|",hi,008517.wav,gan_augmented
aug_007811.wav,इस अध्याय में हम यह देखेंगे कि उपमहाद्वीप में आए यात्रियों द्वारा दिए गए सामाजिक जीवन के विवरणों के अध्ययन से किस प्रकार हम अपने अतीत के विषय में ज्ञान बढ़ा सकते हैं|,hi,007811.wav,gan_augmented
aug_004398.wav,आचार्यश्री ने साधुसाध्वियों को विशेष प्रेरणा प्रदान करते हुए कहा कि साधुसाध्वियों को इन्द्रियों का विशेष संयम करने का प्रयास करना चाहिए,hi,004398.wav,gan_augmented
aug_005023.wav,कुछ समय विश्राम करने के पश्चात् माधवजी ने बच्चों को वापस चलने को कहा क्योंकि सूर्यास्त के पश्चात् वन में रुकना ठीक नहीं है|,hi,005023.wav,gan_augmented
aug_001160.wav,परिपथ में लगभग पंद्रह मिनट तक विद्युत धारा प्रवाहित होने दीजिए| अब विलयन में से इलेक्ट्रोडों को हटाइए तथा उन्हें ध्यानपूर्वक देखिए|,hi,001160.wav,gan_augmented
aug_009044.wav,कृषक खिलनसिंह कुशवाह तथा लल्लीराम वाल्मीक के खेत पर पहुँचकर फसल नुकसानी का भी जायजा लिया,hi,009044.wav,gan_augmented
aug_017516.wav,यह नदियाँ मौसमी होती हैं। पश्चिमी घाट और अरब सागर के बीच बहनेवाली नदियों की लंबाई कम है पर गति ज्यादा है।,hi,017516.wav,gan_augmented
aug_003253.wav,उसने शिवाजी महाराज के विरोध में सभी शक्तियों को संगठित करने के अपने प्रयास प्रारंभ किए । ,hi,003253.wav,gan_augmented
aug_016343.wav,उन्होंने कहा कि श्री बादल के इस षड्यंत्र का उन्हें बाद में पता चला,hi,016343.wav,gan_augmented
aug_011029.wav,"महाराज बोले, तेनालीराम, इस बुद्धि परीक्षा में तुम्हीं विजयी हुए हो।",hi,011029.wav,gan_augmented
aug_015995.wav,सारे स्मृतिकोषों के जागृत हो जाने पर तो शायद सोलह कला सम्पूर्ण श्री कृष्णबन सकते हैं।,hi,015995.wav,gan_augmented
aug_020036.wav,"स्त्रियों के साथ दुर्व्यवहार करनेवालो को वे कठोर दंड देते । प्रजा के किसान, कारीगर, सैनिक, व्यापारी जैसे सभी वर्गों का वे ध्यान रखते । ",hi,020036.wav,gan_augmented
aug_013547.wav,क्या ऐसा कोई वैकल्पिक रास्ता है जिसमें आनुवंशिक जानकारी का उपयोग करते हुए किसान अपने खेतों से सर्वाधिक उत्पादन ले सकेंगे|,hi,013547.wav,gan_augmented
