audio_file,text,language,speaker,source_file,gender,source_type
009595.wav,थोडीशी रक्ताची चटक लागताच तो ते मांस आनंदाने खाऊ लागला.,mr,unknown,,male,real
007434.wav,अतः वे तड़ित से डरते थे और सोचते थे कि उन पर भगवान के क्रोध के कारण यह हुआ है|,hi,unknown,sample_7491,,real
009126.wav,"सतत सराव, निधिध्यास, दिवस रात्र केलेलं चिंतन, नेमबाजी, उंचावरील वस्तूचा अचूक वेध घेणे.",mr,unknown,,male,real
003991.wav,"One of these was Mobbs, who lived in the Minories,",en,LJSpeech_single_speaker,LJ014-0227.wav,,real
012038.wav,"As reported in chapter 2, when the special file was reviewed on November 8,",en,LJSpeech_single_speaker,LJ046-0237.wav,,real
009009.wav,कहानी की बात करें तो चुलबुल पांडे रज्जो के साथ सुकून की जिंदगी जी रहा है,hi,unknown,sample_9079,,real
009794.wav,त्या योजनेप्रमाणे सर्व धर्मनिष्ठांना आचरण करण्याच्या आज्ञा सोडल्या.,mr,unknown,,male,real
003236.wav,परदेशात अनेक ठिकाणी घरबसल्या ऑफिसचे काम करण्याची सुविधा कंपन्यांनी आपल्या कर्मचारी वर्गाला देऊ केली आहे.,mr,unknown,,female,real
019725.wav,बाहर की ओर दो हिस्सों में गायों के स्वच्छंद विचरण की जगह है जहां उन्हें हरा चारा खिलाया जाता है,hi,unknown,sample_19871,,real
003402.wav,"यह आधार एक भारतीय लड़की के नाते तुम्हारे व्यक्तित्व का अटूट हिस्सा है, इसलिए|",hi,unknown,sample_3425,,real
011275.wav,इनके अलावा दूरदर्शन न्यूज़ के कैमरामैन अच्युतानंद की भी इस हमले में मौत हो गई थी,hi,unknown,sample_11360,,real
005731.wav,जिस प्रकार हैरान तथा बांठड़ा लोकनाट्यों के माध्यम से सामाजिक कुरीतियों को उजागर करके उन्हें दूर करने का प्रयास किया जाता था।,hi,unknown,sample_5772,,real
009296.wav,"टेनिस स्टार नोवाक जोकोविच अपने बेहतरीन खेल के लिए सुर्ख़ियों में रहते हैं, लेकिन इस बार ख़बरे उनकी शादीशुदा ज़िंदगी को लेकर हैं।",hi,unknown,sample_9368,,real
004773.wav,and the great outside world shared in the completion of the sacrifice.,en,LJSpeech_single_speaker,LJ016-0362.wav,,real
011076.wav,"even though he later referred to the latter as, quote, trusted long time fighters for progress, end quote.",en,LJSpeech_single_speaker,LJ042-0200.wav,,real
003890.wav,इसका जीवाणु कई माह तक कुत्ते व घर की वस्तुओं से चिपका रहता है,hi,unknown,sample_3914,,real
007153.wav,"मादा के शरीर के अंदर होने वाले निषेचन को आंतरिक निषेचन कहते हैं| यह मनुष्य एवं अन्य जंतुओं जैसे कि मुर्गी, गाय एवं कुत्ते इत्यादि में होता है|",hi,unknown,sample_7206,,real
003920.wav,सरकार उत्तर पूर्व क्षेत्र और जम्मू एवं कश्मीर में इन्ट्रारीजन कनेक्टिविटी और सीमावर्ती बुनियादी ढाँचे को सुधारने पर विशेष जोर देगी,hi,unknown,sample_3944,,real
000218.wav,किसी भी विषय में बुद्धि लगाने से पर्तें पर पर्तें खुलती जाती हैं उनकी मेधा की ।,hi,unknown,sample_219,,real
010761.wav,‘तुका म्हणे तोचि संत। सोशी जगाचे आघात ।’ इन शब्दों में संत तुकाराम ने सच्चे संत के लक्षण बताए हैं ।,hi,unknown,sample_10841,,real
000220.wav,5. The master felons' side. 6. The female felons' side. 7. The state side.,en,LJSpeech_single_speaker,LJ002-0034.wav,,real
015965.wav,नारियल का वर्णन इब्न बतूता इस प्रकार करता हैः|,hi,unknown,sample_16086,,real
003220.wav,ऊर्जा निर्मितीच्या बाबतीत हायड्रोजन सर्वात कार्यक्षम इंधन ठरते.,mr,unknown,,female,real
010996.wav,As my Russian improves I become increasingly conscious of just what sort of a society I live in.,en,LJSpeech_single_speaker,LJ042-0120.wav,,real
000284.wav,आर्थिक अस्थिरता के दौर से गुजर रहे जिम्बाब्वे में अब तख्ता पलट के बादल मंडराने लगे हैं,hi,unknown,sample_286,,real
008140.wav,The Dallas police radio log reflects that Chief of Police Curry reported the shooting of the President,en,LJSpeech_single_speaker,LJ030-0150.wav,,real
005551.wav,इन दोनों छिद्रों में एक धागा पिरोइए| गत्ते के एक ओर एक पिंजरा तथा दूसरी ओर एक पक्षी बनाइए या इनके चित्र चिपकाइए|,hi,unknown,sample_5591,,real
004486.wav,"टेल्को, बजाज ऑटो, टेम्पो, महिन्द्रा, एस्कॉर्ट्स, एसटी या गाड्या दिसल्या.",mr,unknown,,female,real
001509.wav,"Their treatment was also a matter of chance. They still slept on rope mats on the floor, herded together in companies of four or more to keep one another warm",en,LJSpeech_single_speaker,LJ006-0091.wav,,real
009255.wav,Truly stood in front of the building.,en,LJSpeech_single_speaker,LJ035-0070.wav,,real
006300.wav,राघू मग त्या लाखो रुपये किंमतीपैकी सध्या मला पतंग आणायला फक्त एक रुपया देतोस का,mr,unknown,,male,real
014545.wav,अतः उनके शरीर पर लगने वाला दाब कम हो जाता है और वे बोझ को आसानी से उठा सकते हैं| ध्यान दीजिए कि उपरोक्त व्यंजक में क्षेत्रफल ‘हर’ में है|,hi,unknown,sample_14657,,real
006466.wav,"But when, almost two years later, it came before the Supreme Court its constitutionality was upheld only by a five-to-four vote.",en,LJSpeech_single_speaker,LJ023-0012.wav,,real
000083.wav,"एक्सिस ब्लू चिप फंड इस तरह की म्यूचुअल फंड योजना है, जो बड़ी और प्रतिष्ठित कंपनियों में ही निवेश करती है",hi,unknown,sample_82,,real
000608.wav,घूंट घूंट पीने से यह छालों की भी जलन शांत करेगा और पेट की गर्मी भी शांत करेगा,hi,unknown,sample_612,,real
004844.wav,"When they brought in the two watchers to relieve guard one night, Sattler said,",en,LJSpeech_single_speaker,LJ016-0434.wav,,real
000932.wav,नैनाटिक्कर पच्छाद तहसील के प्रमुख धार्मिक स्थल देवता भूर्शिंग महादेव परिसर में दो दिवसीय मेले का शुभारंभ सोमवार को हुआ।,hi,unknown,sample_939,,real
002009.wav,एके दिवशी स्वराच्या माधुर्याची किर्ती एका राजाला कळली.,mr,unknown,,female,real
005270.wav,आज दौड़ती भागती जिंदगी में मनुष्य रोज ही न जाने कितनी जद्दोजहद से रूबरू होता है।,hi,unknown,sample_5308,,real
015310.wav,जल्दी ही निक्यांका अब एक टीवी शो में साथ नज़र आने वाले हैं।,hi,unknown,sample_15429,,real
021794.wav,"फिल्म में सलमान खान के अलावा कैटरीना कैफ, दिशा पटानी, सुनील ग्रोवर और तब्बू जैसे सितारें भी मुख्य भूमिका में हैं",hi,unknown,sample_21957,,real
003358.wav,इमारतीच्या अंतर्गत सजावटीमध्ये रंगीत प्रकाश मिळविताना बहुधा रंगीत काच फिल्टर म्हणून वापरली जाते.,mr,unknown,,female,real
010632.wav,पैनासोनिक इंडिया के व्यापार प्रमुख मोबिलिटी डिविजन पंकज राणा ने बताया कि दोनों स्मार्टफोन एक्सक्लूसिव ढंग से फ्लिपकार्ट पर बिक्री के लिए उपलब्ध होंगे।,hi,unknown,sample_10711,,real
008181.wav,"According to Kellerman, Mrs. Kennedy then cried out, quote,",en,LJSpeech_single_speaker,LJ030-0191.wav,,real
016275.wav,चारों तरफ खुशियाँ झूमती थीं| चारों तरफ गीत गूँजते थे| इतने में साधुओं की एक मंडली शहर के अंदर दाखिल हुई|,hi,unknown,sample_16398,,real
007251.wav,इस नाटक के कारण संपूर्ण लिखित संहिता वाले नाटकों की परंपरा प्रारंभ हुई|,hi,unknown,sample_7305,,real
010514.wav,"That situation, however, was short-lived,",en,LJSpeech_single_speaker,LJ040-0080.wav,,real
007217.wav,कोलकाता के वेरिएबल एनर्जी साइक्लोट्रोन सेंटर में मेडिकल साइक्लोट्रॉन सुविधा साइक्लोन का परिचालन शुरू हो गया है ।,hi,unknown,sample_7271,,real
008910.wav,"डोंगरावरची झाडं हसली, सळसळली.",mr,unknown,,male,real
005555.wav,जवळी आलीस तेव्हा श्वासात कैफ आला,mr,unknown,,male,real
019037.wav,उपरोक्त महत्त्वपूर्ण प्वांइट से इतर आवेदकों से आग्रह है कि वो सिविल सेवा प्रीलिम्स परीक्षा के पिछले प्रश्नपत्रों को भी देख लें।,hi,unknown,sample_19179,,real
003926.wav,इस पद्धती में लोहा या इस्पात का क्षरण रोकने के लिए उस पर जस्ते की पतली पर्त चढ़ाई जाती हैं|,hi,unknown,sample_3950,,real
001466.wav,To these were still added an average of about fifty expecting the last penalty of the law; a certain number of transports awaiting removal to the colonies;,en,LJSpeech_single_speaker,LJ006-0048.wav,,real
009000.wav,चोरीची किंवा चोराची पुराव्यासह जो बित्तंबातमी देईल त्याला कोतवालसाहेब माठे बक्षिस देतील.,mr,unknown,,male,real
004192.wav,and to have succeeded in other speculations.,en,LJSpeech_single_speaker,LJ015-0091.wav,,real
008438.wav,इनका कहना है कि कुफ्टाधार में तीन दिन बाद पानी आता है,hi,unknown,sample_8500,,real
016693.wav,इसके विपरीत अमेज़न के मुहाने पर अनेक द्वीप तैयार हो गए हैं। महासागर के तट के पास अनेक द्वीप हैं। ,hi,unknown,sample_16819,,real
004353.wav,बैलों के जोड़े के सहारे खींचे जाने वाले बरमे का इस्तेमाल बीज बोने के लिए किया जाता था|,hi,unknown,sample_4383,,real
017631.wav,"बिल्गी से भाजपा के विधायक निराणी, येडियूरप्पा की पिछली सरकार में भी उद्योग मंत्री रहे थे",hi,unknown,sample_17761,,real
004277.wav,बाळाला पायान्वर उताणे किवा मउ गादिवर प्लस्टिक अन्थरून दुपट्यावर उताणे ठेवावे.,mr,unknown,,female,real
006941.wav,"इस किनारे पर माराजो द्वीप, माराजो की खाड़ी और साओ मारकोस की खाड़ी है। माराजो एक बड़ा तटीय द्वीप है।",hi,unknown,sample_6992,,real
006992.wav,भारतीय संगीताच्या हृदयाची या दोघीही स्पंदन असल्याचेही त्यांनी या वेळी सांगितले.,mr,unknown,,male,real
005138.wav,"The Chronicles of Newgate, Volume 2. By Arthur Griffiths. Section 21: Newgate Notorieties, part 2.",en,LJSpeech_single_speaker,LJ018-0001.wav,,real
019844.wav,पुरुष एवं महिलाएँ सभी मिलकर इस पर्व को मनाते हैं|,hi,unknown,sample_19992,,real
018495.wav,"केवल उनकी डोर मजबूत करना चाहती हूँ कि अपनी किसी ऊँची उड़ान में वे लड़खड़ा न जाएँ| इसलिए कहना चाहती हूँकि ‘उड़ो बेटी, उड़ो, पर धरती पर निगाह रखकर'|",hi,unknown,sample_18632,,real
021081.wav,"अब इसका आधार तथ्यों की प्रासंगिकता व प्रामाणिकता, विवेकपूर्ण, निष्पक्ष, निष्कपट, तर्कसंगत व पारदर्शी विवेचन नहीं रह गया है।",hi,unknown,sample_21237,,real
004174.wav,सर्व सैनिकाच्या रोमहर्षक कथाचा संग्रह तरूणांना प्रेरक ठरेल,mr,unknown,,female,real
010740.wav,यदि दो समतल दर्पणों को संयोजनों में उपयोग करें तो क्या होगा ?,hi,unknown,sample_10820,,real
003921.wav,"ती अतिशय तीव्र, उष्ण, अतिसुक्ष्म व तीव्र असते.",mr,unknown,,female,real
016375.wav,अरब सागर के द्वीप समूह को लक्षद्वीप कहते हैं और बंगाल की खाड़ी में स्थित द्वीपों को अंडमान एवं निकोबार,hi,unknown,sample_16498,,real
006477.wav,अधिक ज्यू आता मोकळ्या आणि आधुनिक विचारांचे होते आहेत.,mr,unknown,,male,real
000960.wav,स्थूलदेहाचा अशक्तपणा वाढून मनाचे कार्यही व्यवस्थित होत नाही.,mr,unknown,,female,real
020939.wav,जल्द ही इस प्रकार का प्रयोग मध्यप्रदेश में भी देखने को मिलेगा।,hi,unknown,sample_21095,,real
001440.wav,बेंझीन की संरचना में छह कार्बन परमाणों के वलय में एक के बाद एक ऐसे तीन दुहरे बंध होते हैं|,hi,unknown,sample_1450,,real
016650.wav,अदरक में एन्टी सेप्टिक और एन्टी आक्सिडेंट गुण होते हैं जो प्राकृतिक सौन्दर्य देने के काम आता है,hi,unknown,sample_16776,,real
012187.wav,the FBI transferred the principal responsibility for the Oswald case from the Dallas office to the New Orleans office.,en,LJSpeech_single_speaker,LJ047-0132.wav,,real
006735.wav,तारखांमधील हा असमतोल विदर्भातील विद्यार्थ्यांचा शैक्षणिक अभ्यासक्रम माघारण्यास कारणीभूत ठरायचा.,mr,unknown,,male,real
000907.wav,"मानवाचे स्वास्थ्य पर्यावरणावर अवलंबून आहे, त्यामुळे पर्यावरणाच्या स्वास्थ्याकडे लक्ष देणे अत्यावश्यक आहे !",mr,unknown,,female,real
006041.wav,"शनिवार को दो शवों की आंख, कान व नाक चूहे, नेवला व छछूंदरों द्वारा कुतरे जाने का मामला एक बार फिर प्रकाश में आया।",hi,unknown,sample_6083,,real
007718.wav,"ठीक आहे, मीही या ढोंगी ऋषीचा अपमान करीन!",mr,unknown,,male,real
002753.wav,"विद्युत उपकरणों और तेलों में लगी आग को नियंत्रित करने के लिए जल का उपयोग नहीं किया जाता| दहन विभिन्न प्रकार के हैं, जैसे - तीव्र दहन, स्वतः दहन, विस्फोट, आदि|",hi,unknown,sample_2772,,real
008362.wav,assisted by Drs. William Osborne and John Parker.,en,LJSpeech_single_speaker,LJ031-0117.wav,,real
000431.wav,"आमची आबाळ सुरु झाली, लोक स्वार्थाच्या मागं लागले.",mr,unknown,,female,real
009707.wav,"दोस्तों ,जैसा की आपको मालूम होगा कि हमारे देश भारत में वर्षां ऋतु का मौंसम जुलाई से प्रारम्भ होता है।",hi,unknown,sample_9782,,real
001300.wav,"हालांकि, उन्हें अपने दो महत्वपूर्ण खिलाड़ियों जॉन आर्ने रिसे और हैंज मुल्डर की कमी खलेगी, जो अब चेन्नइयन की टीम से खेल रहे हैं।",hi,unknown,sample_1309,,real
009046.wav,"दूसरा, जीवों और पर्यावरण के बीच फॉस्फोरस का गैसीय विनिमय बिल्कुल नगण्य होता है|",hi,unknown,sample_9116,,real
011841.wav,सबसे ज्यादा प्रभाव अंग्रेजी एवं आधुनिक शिक्षा प्राप्त समाज के सम्भ्रान्त हिस्से पर पड़ा।,hi,unknown,sample_11931,,real
004506.wav,"भारत में मध्य प्रदेश, उत्तर प्रदेश, बिहार, उत्तराखंड, कर्नाटक, आंध्र प्रदेश और तेलंगाना राज्यों में गुफाचित्रोंवाले अनेक स्थान हैं|",hi,unknown,sample_4537,,real
000466.wav,तसा प्रयत्न पुन्हा संतसज्जनांनी केला पाहिजे.,mr,unknown,,female,real
018010.wav,यह गंध एल्कोहल की है जो चीनी के एल्कोहल में परिवर्तित होने के कारण बना है|,hi,unknown,sample_18143,,real
008766.wav,भारतीय अंतरिक्ष अनुसंधान संगठन इसरो अंतरिक्ष विभाग अंवि का अनुसंधान एवं विकास स्कंध है और राष्ट्रीय अंतरिक्ष कार्यक्रम के कार्यान्वयन के लिए उत्तरदायी है।,hi,unknown,sample_8834,,real
004898.wav,यहाँ हम देखते हैं कि सभी अमेरिकी समाचार हरे रंग से चिह्नित हैं|,hi,unknown,sample_4932,,real
003489.wav,and was seen to be busily engaged in washing down the house with bucket and mop.,en,LJSpeech_single_speaker,LJ012-0288.wav,,real
002409.wav,अपने ट्विंकल टोज के लिए प्रसिद्ध डावर भारत में जैज और पाश्चात्य डांस को लोकप्रिय बनाने के लिए जाने जाते हैं।,hi,unknown,sample_2426,,real
008009.wav,"According to O'Donnell, the President commented that, quote,",en,LJSpeech_single_speaker,LJ030-0019.wav,,real
015180.wav,"तुम मॉन्स्टर किसी स्त्री के पुत्र, भाई, पति या पिता नहीं हो सकते ।",hi,unknown,sample_15299,,real
007471.wav,पता लगाइए कि क्या मैदानी इलाकों में रहने वाले लोगों की तुलना में उन जनजातियों में सामान्यत लाल रुधिर कोशिका की संख्या ज्यादा होती हैं|,hi,unknown,sample_7529,,real
014332.wav,"बस्ती एक तैराकी और मनोरंजन केंद्र, कई चर्चों, रोटरी स्केट पार्क, और एक सार्वजनिक पुस्तकालय में शामिल है।",hi,unknown,sample_14443,,real
008260.wav,"परंतु तो उठला, ते पूर्वजांचे घर सोडून तो निघाला.",mr,unknown,,male,real
010437.wav,उसके इस विवेचन के परिणामस्वरूप अनेक दार्शनिकों को यह विश्वास हुआ कि यद्यपि इतिहास की अध्ययन पद्धति विज्ञान की पद्धतियों की तुलना में भिन्न है; फिर भी उसकी गुणवत्ता कम नहीं है ।,hi,unknown,sample_10515,,real
001336.wav,Without enlargement no material change in discipline or interior economy could possibly be introduced.,en,LJSpeech_single_speaker,LJ005-0217.wav,,real
001824.wav,"The other inmates of the prison of an exceptional character, and exempted from the regular discipline, such as it was,",en,LJSpeech_single_speaker,LJ007-0098.wav,,real
010551.wav,"विदर्भ में ऋद्धिपुर नामक स्थान इस पंथ का महत्त्वपूर्ण केंद्र है । यह पंथ पंजाब, अफगानिस्तान जैसे दूरस्थ प्रदेशों में भी पहुँचा था ।",hi,unknown,sample_10629,,real
002339.wav,"सरोवराच्या आंतून मधुर संगीत ऐकून व कोणते तरी वाद्य वाजत आहे, हे ओळखून राम चकित झाला.",mr,unknown,,female,real
016445.wav,"दरअसल, सियासत की इस महान और कामयाब शख़्सियत को अपनी निजी ज़िन्दगी में कई ग़म मिले थे।",hi,unknown,sample_16568,,real
008517.wav,"वन्यजंतु अभ्यारण्य, राष्ट्रीय उद्यान, जैवमण्डल संरक्षित क्षेत्र इत्यादि पौधों और जंतुओं के लिए संरक्षित एवं सुरक्षित क्षेत्र हैं|",hi,unknown,sample_8580,,real
004956.wav,तिसर्‍या मस्तकाने विश्वात होणार्‍या सर्व घटनांचे निरीक्षण तो करीत असे.,mr,unknown,,male,real
007811.wav,इस अध्याय में हम यह देखेंगे कि उपमहाद्वीप में आए यात्रियों द्वारा दिए गए सामाजिक जीवन के विवरणों के अध्ययन से किस प्रकार हम अपने अतीत के विषय में ज्ञान बढ़ा सकते हैं|,hi,unknown,sample_7869,,real
004398.wav,आचार्यश्री ने साधुसाध्वियों को विशेष प्रेरणा प्रदान करते हुए कहा कि साधुसाध्वियों को इन्द्रियों का विशेष संयम करने का प्रयास करना चाहिए,hi,unknown,sample_4429,,real
005905.wav,स्वप्नामधल्या स्वप्नफ़ुला रे वास्तवात तू येशील का,mr,unknown,,male,real
010572.wav,होता होता झाड थोडे मोठे झाले की आपल्या वर्गातली सगळी मुले मिळून आपण त्याची रोपे डोंगरावर लावूयात.,mr,unknown,,female,real
005023.wav,कुछ समय विश्राम करने के पश्चात् माधवजी ने बच्चों को वापस चलने को कहा क्योंकि सूर्यास्त के पश्चात् वन में रुकना ठीक नहीं है|,hi,unknown,sample_5059,,real
005753.wav,"The prison was to contain four hundred and four prisoners, and the estimated expenditure was £79,000.",en,LJSpeech_single_speaker,LJ019-0218.wav,,real
001160.wav,परिपथ में लगभग पंद्रह मिनट तक विद्युत धारा प्रवाहित होने दीजिए| अब विलयन में से इलेक्ट्रोडों को हटाइए तथा उन्हें ध्यानपूर्वक देखिए|,hi,unknown,sample_1168,,real
009044.wav,कृषक खिलनसिंह कुशवाह तथा लल्लीराम वाल्मीक के खेत पर पहुँचकर फसल नुकसानी का भी जायजा लिया,hi,unknown,sample_9114,,real
017516.wav,यह नदियाँ मौसमी होती हैं। पश्चिमी घाट और अरब सागर के बीच बहनेवाली नदियों की लंबाई कम है पर गति ज्यादा है।,hi,unknown,sample_17646,,real
003253.wav,उसने शिवाजी महाराज के विरोध में सभी शक्तियों को संगठित करने के अपने प्रयास प्रारंभ किए । ,hi,unknown,sample_3275,,real
007681.wav,"In 1812, James Claudius Rich, the British Resident at Baghdad, made the first complete examination of the ruins.",en,LJSpeech_single_speaker,LJ028-0423.wav,,real
010527.wav,या राज्याच्या जुलमी राजाला ताळ्यावर आणण्यासाठी मी माझे प्राणही पणाला लावीन.,mr,unknown,,female,real
007685.wav,"The enormous amount of debris which buried the palaces and temples and walls of Nebuchadnezzar's city, in places to the depth of a hundred feet,",en,LJSpeech_single_speaker,LJ028-0427.wav,,real
003905.wav,After judgment was passed she repeatedly cried out Shame!,en,LJSpeech_single_speaker,LJ014-0140.wav,,real
007324.wav,"Eleven years later, in 586, he destroyed the sacred Hebrew city,",en,LJSpeech_single_speaker,LJ028-0065.wav,,real
016343.wav,उन्होंने कहा कि श्री बादल के इस षड्यंत्र का उन्हें बाद में पता चला,hi,unknown,sample_16466,,real
001217.wav,"The Society did not shrink from its self-imposed duty, but continued year after year, with unflagging energy and unflinching spirit, to watch closely",en,LJSpeech_single_speaker,LJ005-0098.wav,,real
010076.wav,7. Certain of my documents are in the small blue valise.,en,LJSpeech_single_speaker,LJ038-0194.wav,,real
006888.wav,हसल्यानंतर शरीरात निर्माण होणारे काही स्राव रक्ताभिसरण सुरळीत ठेवण्यास मदत करतात.,mr,unknown,,male,real
010555.wav,काही दिवसांनी चौकशी केल्यावर देवाच्या लक्षात आले की माणसांना संपूर्ण अंधाराची खूपच गैरसोय होते आहे.,mr,unknown,,female,real
003945.wav,बाल गुन्हेगारासाठी माटुंग्याला एक शाळाही काढली व तांत्रिक शिक्षणाचा प्रसारासाठी ससून मेकॅनिक्स इन्स्टिट्यूटची स्थापना केली.,mr,unknown,,female,real
011029.wav,"महाराज बोले, तेनालीराम, इस बुद्धि परीक्षा में तुम्हीं विजयी हुए हो।",hi,unknown,sample_11112,,real
015995.wav,सारे स्मृतिकोषों के जागृत हो जाने पर तो शायद सोलह कला सम्पूर्ण श्री कृष्णबन सकते हैं।,hi,unknown,sample_16116,,real
011187.wav,"at the time of his defection, when he evidenced no interest in his father and hardly mentioned him, even when questioned.",en,LJSpeech_single_speaker,LJ043-0061.wav,,real
008679.wav,and issues of two newspapers later identified as the Worker and the Militant.,en,LJSpeech_single_speaker,LJ032-0201.wav,,real
006132.wav,In this recent reorganization we have recognized three distinct functions:,en,LJSpeech_single_speaker,LJ021-0091.wav,,real
020036.wav,"स्त्रियों के साथ दुर्व्यवहार करनेवालो को वे कठोर दंड देते । प्रजा के किसान, कारीगर, सैनिक, व्यापारी जैसे सभी वर्गों का वे ध्यान रखते । ",hi,unknown,sample_20186,,real
003623.wav,"When one of these clubs was taken in at the Army and Navy, that establishment also suffered.",en,LJSpeech_single_speaker,LJ013-0126.wav,,real
009120.wav,"and I felt like there hadn't been more than one eyewitness, and if it got to be a known fact that I was an eyewitness, my family or I, either one, might not be safe.",en,LJSpeech_single_speaker,LJ034-0154.wav,,real
006027.wav,मुंबईची मराठी भाषा हल्ली खिचडी भाषा झाली आहे.,mr,unknown,,male,real
013547.wav,क्या ऐसा कोई वैकल्पिक रास्ता है जिसमें आनुवंशिक जानकारी का उपयोग करते हुए किसान अपने खेतों से सर्वाधिक उत्पादन ले सकेंगे|,hi,unknown,sample_13652,,real
019144.wav,खासतौर पर आप जिस स्थान पर घूमने जा रही हैं उस हिसाब से आपका मेकअप होना आपको अलग ही कॉन्फिडेंस देता है,hi,unknown,sample_19287,,real
002638.wav,स्वभाव से उन्हें यह निश्छल वीरता मिली है जो अपने बचाव के प्रयत्न को भी कायरता की संज्ञा देती है|,hi,unknown,sample_2657,,real
