audio_file,text,language,speaker,gender
001627.wav,बस लगेचच सुटल्यामुळे सगळी मुलं खूपच एक्साईट झाली होती.,mr,unknown,female
008490.wav,"त्याच्या छळाला व अत्याचाराला कंटाळून त्याची प्रजा आपआपली गावे सोडून, दुसऱ्या राज्यात जाऊ लागली.",mr,unknown,male
007782.wav,दुसरी एक कल्पना मनात आल्यावर तर तिच्या डोळ्यात अश्रूच आले.,mr,unknown,male
006631.wav,आयसोलेशनमध्ये भरती अठ्ठावीस रुग्ण भरती आहेत.,mr,unknown,male
000305.wav,आपली येण्या-जाण्याची सर्व व्यवस्था सन्मानपूर्वक करण्यासाठी मी प्रधानाला सांगितले होते.,mr,unknown,female
007667.wav,"भगवान श्रीकृष्णांनी द्वापारयुगात भागवत धर्माची जी घडी बसविली होती, ती आता विस्कटून गेली आहे.",mr,unknown,male
008216.wav,विनू मुकाट्याने आपल्या घरी जाऊन पडला.,mr,unknown,male
003016.wav,राजाने संतापून हुकूम सोडला की दिसेल त्या कुत्र्याला धरून ठार करा.,mr,unknown,female
010774.wav,"माझ्याशी कोणी मैत्री का करत नाही, मला कुणीच खेळायलाही बोलवत नाही, ह्या गावात येऊन मी अगदी एकटा पडलो आहे, असे म्हणतांना भुवनला अगदी रडू येत होते.",mr,unknown,female
009570.wav,"दोन संन्यासी, म्हणजे गुरु-शिष्य ८ महिन्यांनी पावसाळ्यात परत त्यांच्या झोपड्यांकडे आले.",mr,unknown,male
003317.wav,बाहेरच्या बाजूस सावली देणारी झाडे असणे फायदेशीर असते.,mr,unknown,female
010074.wav,मनाने त्याने तिन्ही लोकांची स्थिती अवलोकन केली.,mr,unknown,male
009393.wav,राजाचे हे बोल ऐकून सदाचार राजवाड्यातच थांबला.,mr,unknown,male
003032.wav,"मुलाला समजूत येऊ लागली, तेव्हां राजाने त्याला सांगितले.",mr,unknown,female
007465.wav,"त्याला आपले सारे श्रम वाया गेले, असे वाटायचे.",mr,unknown,male
008808.wav,"दुसर्‍या दिवशी शाळेत चित्रकलेची स्पर्धा होती, भुवनची चित्रकला उत्तमच होती.",mr,unknown,male
009587.wav,कळपातील गवत खाणाऱ्या वाघाला पाहून तो रानातील वाघ आश्चर्यचकित झाला.,mr,unknown,male
001840.wav,सूडाने आंधळी झालेली माणसे आत्मघात व समाजघातच करतात.,mr,unknown,female
001595.wav,"माझ्याशी कोणी मैत्री का करत नाही, मला कुणीच खेळायलाही बोलवत नाही, ह्या गावात येऊन मी अगदी एकटा पडलो आहे, असे म्हणतांना भुवनला अगदी रडू येत होते.",mr,unknown,female
003059.wav,श्रीवत्स आपल्या पत्नीसमवेत पायी मगधदेशीं पोचला व त्याने बोधिसत्वाची भेट घेतली.,mr,unknown,female
004354.wav,"ऑरगॅनिक दुधामध्ये विटॅमिन्स, अँटीऑक्सिडंट्स आणि ओमेगा-तीन अ‍ॅसिड जास्त प्रमाणात मिळते.",mr,unknown,female
001122.wav,"ऋषिपत्नी म्हणाली, राजा, निश्चिंत ऐस, ही माझीच मुलगी मी समजेन, मी तिला मजजवळ घेऊन निजेन, तिची वेणीफणी करीन.",mr,unknown,female
003182.wav,रासायनिक ऊर्जा निर्मिती व आण्विक ऊर्जा निर्मिती प्रक्रिया या दोनच मानवी हुकमाखाली राहू शकणाऱ्या ऊर्जानिर्मिती पध्दती आहेत.,mr,unknown,female
008391.wav,"त्या वेळेस ऋषी आणखी काही बोलले नाहीत, त्यांनी परभारे भिल्ल राजाला निरोप पाठविला.",mr,unknown,male
009439.wav,हे पाहून भाविक भडकतात आणि गाढवाला धोपटतात.,mr,unknown,male
005360.wav,"आम्हाला असला धिप्पाड, कुरूप काका आहे हे ठाऊकच नव्हतं.",mr,unknown,male
004695.wav,कारण शेवटपर्यंत ते सतत तुझीच आठवण काढीत होते!,mr,unknown,male
009365.wav,भिजल्यामुळे त्याला खूप थंडी वाजत होती.,mr,unknown,male
007827.wav,बैलाच्या रूपाने तो प्रत्यक्ष वायुदेवच बोलत होता.,mr,unknown,male
001195.wav,"मोठेपणा याचा अर्थ जगातील काही व्यक्तींच्या ओठांवर आपले नाव काही काळ नाचणे, असा मी करीत नाही.",mr,unknown,female
003072.wav,ह्या खेळासाठी तुमच्या जवळ कंचे मार्बल्स किंवा छोटे रंगीत काचेचे बॉल्स आणि खुल्ली जागा असली पाहिजे.,mr,unknown,female
006581.wav,मारुती धुप्पे यांनी सूत्रसंचालन करून आभार मानले.,mr,unknown,male
002628.wav,निमूटपणें तो स्मशानाच्या दिशेने चालूं लागला.,mr,unknown,female
008480.wav,"माझ्या वडिलांच्या अंगावर ते वयाने सतरा-अठरा वर्षांचे झाले नाहीत तोच सारी जबाबदारी पडली होती, कारण आजोबा थकले होते.",mr,unknown,male
007611.wav,"चोरांनाही आश्‍चर्य वाटले, ते दोन्ही रक्षक नाहीसे झाले होते.",mr,unknown,male
009031.wav,"जवळच एक धोबी राहावयास आला, त्या दोघांची चांगली ओळख झाली.",mr,unknown,male
004296.wav,"सगळीकडे शॉपिंग मॉल्स, प्रदर्शनं, तरतऱ्हेच्या वस्तूंची दुकानं, उपहारगृहं अशी सरमिसळ होती.",mr,unknown,female
005121.wav,आणि त्याने वाकून बादशहाला सलाम केला.,mr,unknown,male
002520.wav,त्याने आपला देह सोडला आणि तो सुदर्शन चक्रांत विलीन झाला.,mr,unknown,female
005995.wav,त्यात सोय आहे असे मला वाटते.,mr,unknown,male
009535.wav,कस सांगु तूम्हाला खाली आता शिक्षणाचा काळा बाजार थाटला.,mr,unknown,male
008301.wav,हळूहळू ते त्यांची भाषा शिकू लागले आणि आपले उन्नत व उदात्त विचार त्यांना सांगू लागले.,mr,unknown,male
004552.wav,त्यावर शाम बेनेगल की गोविन्द निहलानीनी याच नावाचा चित्रपट काढला होता.,mr,unknown,female
008734.wav,दुसर्‍या दिवशी सकाळी उठल्यावर नेहमीप्रमाणे समुद्रावर जाण्याची तयारी झाली.,mr,unknown,male
005584.wav,सर्वसामान्य दुःखाची कल्पना येथे फोल ठरून सर्वसामान्य दुःखोत्सव संपलेला असतो.,mr,unknown,male
005567.wav,मृतदेहाला लाकडांच्या ढीगावर झोपवण्याचं काम गावातली जेष्ठ आणि श्रेष्ठ मंडळी करतात.,mr,unknown,male
001409.wav,एक दिवस सकाळी सकाळी ऑफिसमधला टेलिफोन खणखणला.,mr,unknown,female
001181.wav,"एक दिवस मतंग ऋषी तिला म्हणाले, शबरी, तू शिकली सावरलीस, सद्गुणी झालीस, आता तू मोठी झाली आहेस.",mr,unknown,female
009775.wav,"ते म्हणाले, आम्ही चोर आहोत, तुमच्याजवळ जे काही असेल, ते आम्ही घेऊन जाणार होतो.",mr,unknown,male
001951.wav,"हा वर्ग आठवा, वर्गात एकंदर पस्तीस विद्यार्थी-विद्यार्थिनी आहेत.",mr,unknown,female
010771.wav,वर्गातही अभ्यास करतांना भुवन सतत शिक्षकांच्या पुढे पुढे करायचा त्यामुळे वर्गातली इतर मुले त्याला आपल्यापेक्षा हुशार आणि वेगळा समजत असत.,mr,unknown,female
008372.wav,"एक दिवस मतंग ऋषी तिला म्हणाले, शबरी, परमेश्वरास वाहण्यासाठी दोनचार फुले फार तर आणावीत.",mr,unknown,male
001890.wav,द्रोणाचार्यांकडून धनुर्विद्या संपादन करण्याची त्याची महत्त्वाकांक्षा होती.,mr,unknown,female
004824.wav,"स्वेच्छेप्रमाणे यश प्राप्त करण्यासाठी करण्यात येणाऱ्या गणेशोत्सवानी, आपल्याला उद्योगात विजय मिळवून दिला, असे लोक मानतील.",mr,unknown,male
001085.wav,रानटी लोकांच्या हृदय मंदिरात ज्ञानाचा दिवा प्रकाशू लागला.,mr,unknown,female
004048.wav,आम्ही इथूनच एका वेब साईटवरून एक अपार्टमेन्ट बूक केले होते त्या भागात.,mr,unknown,female
004255.wav,"त्यामुळे अर्थाचे प्रावाहिकत्वही अधिक सुंदर, सुश्लिष्ट, निखळ आणि एकसंध होत जाते.",mr,unknown,female
001955.wav,त्यासाठी ते निरनिराळया युक्त्या प्रयुक्त्या लढवित.,mr,unknown,female
003012.wav,कांही दरबार्यांच्या तोंडी त्याने बोधिसत्वांविरुद्ध तक्रार ऐकली होती.,mr,unknown,female
000711.wav,"काही हरकत नाही, तू रुद्राला सांग की गायीवर हक्क तुझाच आहे.’",mr,unknown,female
009965.wav,एकदा कक्षीवान ऋषी प्रियमेध नावाच्या ऋषीकडे गेला.,mr,unknown,male
002019.wav,मग स्वर आपल्या स्वरात आपण केलेल्या चूका सावरून आपल्या झ-याकडे आल्याचे एक मधूर गाणे गाऊ लागला.,mr,unknown,female
007342.wav,"छत्रपतींचा विजय असो म्हणुन चटकन हात जोडले, पण घडले भलतेच, ते माझ्यावरच ओरडले.",mr,unknown,male
000252.wav,तो प्रतिभावान आणि सूक्ष्मदर्शी विद्वानही होता.,mr,unknown,female
002948.wav,एके दिवशी सटींगरी या शेजारच्या गांवातल्या प्रमुखाने आपला नोकर फुनचोककडे पाठवला.,mr,unknown,female
009542.wav,"बोलताना वाईट वाटते पण आता वेळ आली आहे विचार करण्याची, खरच चुकी केली का माणूस हा प्राणी बनण्याची.",mr,unknown,male
003653.wav,मध्य भारतातील छोट्या प्रदेशावर राज्य करणाऱ्या विंध्यशक्तिने वाकाटक घराण्याची स्थापना केली.,mr,unknown,female
001618.wav,एका दिवसात अचानक त्याला खूप मित्रमैत्रिणी मिळाल्या होत्या.,mr,unknown,female
000695.wav,"यज्ञाच्या सहाव्या दिवशी कोणते मंत्र म्हणावे हेच त्यांना समजत नाही, म्हणून त्यांचा यज्ञ पुरा होत नाही व त्यांना स्वर्ग मिळत नाही.",mr,unknown,female
000972.wav,ते पाणी रोग्याने एकाएकी न पिता दिवसभरातून थोडे थोडे प्यावे.,mr,unknown,female
006921.wav,संबंधित राडारोडा डंपरवर पुणे मनपाच्या सेवेसाठी असे लिहिलेले आहे.,mr,unknown,male
002593.wav,"नामदेवांच्या भक्तिमय रचना “अभंग”, यांचा संग्रह नामदेवांची गाथा या दस्तावेजात झाला आहे.",mr,unknown,female
002493.wav,"नारद फार लहान होता, तरी त्या बाल्यावस्थेतही तो त्यांना पाणी प्यायला आणून देई.",mr,unknown,female
008575.wav,हे ऐकल्यावर देवाला समजून चुकले की पृथ्वीवरच्या माणसांना वेळेचे अजिबातच भान नाहीये.,mr,unknown,male
008234.wav,"आपला मित्र तरी आपणांस सहानुभूती दाखवील असे मनूस वाटत होते, परंतु तीही आशा का विफळ होणार.",mr,unknown,male
007475.wav,"कंबनने कूत्तनचा हात पकडला, तेव्हा कूत्तनच्या रामायणातील उत्तरकांड तेवढे जाळायचे राहिले होते.",mr,unknown,male
003708.wav,"भारतीय स्त्रीमनाचा हेवा वाटावा, असे देवदुर्लभ कुटुंब भंवरलालजींना मिळाले.",mr,unknown,female
009502.wav,त्यांची कदरही तितकीच करायला पाहिजे.,mr,unknown,male
002418.wav,"मी भांडण लावण्यात, तुझ्याहून वरताणच ठरेन बरं!",mr,unknown,female
007504.wav,राजा आणि प्रधान यांना वाकून खोलीत यावे लागले.,mr,unknown,male
002895.wav,मी ह्या स्थितीला बदलण्यासाठी पुर्ण आत्मविश्वासाने त्या याना जवळ गेलो आणि ओरडलो.,mr,unknown,female
003025.wav,म्हणून भाड्याऐवजी तो पाडाच म्हातारीला देऊन मालक निघून गेला.,mr,unknown,female
001246.wav,"अहंकाराचे रूप फार सूक्ष्म असते, सदैव सावध राहिले पाहिजे.",mr,unknown,female
002413.wav,विष्णूला भूदेवीची कीव आली व त्याने दशावतारापैकी तिसरा अवतार वराहावतार धारण केला.,mr,unknown,female
005517.wav,एक एक ओंजळी मागे असतेच झऱ्याचे पाणी,mr,unknown,male
008778.wav,"गिफ्ट देण्यासाठी दोघांनीही तिला डोळे बंद करायला सांगितले, नीना खूपच उत्सुक होती.",mr,unknown,male
009913.wav,"आईचे नाव जबाला, म्हणून मी सत्यकाम जबाला, ह्यापेक्षा जास्त मला ठाऊक नाही.’",mr,unknown,male
007756.wav,तुम्हांला या शापवाणीपासून अज्ञानात ठेवू नये म्हणून त्यांनी हा निरोप पाठविला आहे.,mr,unknown,male
000036.wav,त्या गृहस्थाने त्यांच्यापैकी प्रत्येकाला आपापली काठी मोडण्यास सांगितले.,mr,unknown,female
006519.wav,भिक्‍खूंना खासगी संपत्ती बाळगण्याचा अधिकार नाही.,mr,unknown,male
008036.wav,म्हणून धन्वंतरीचीही या दिवशी पुजा केली जाते.,mr,unknown,male
003071.wav,खेळाचा ध्येय शक्य तीतक्या कमीतल्या कमी वेळात सर्व प्रतिस्पर्धींना टॅग करण्याचा आहे.,mr,unknown,female
009004.wav,आपल्या छानदार खोगिराची एका घोडयाला घमेंड वाटत होती.,mr,unknown,male
002964.wav,तर मग खर्या अपराधी कुत्र्यांना पकडून आपल्या अनुयायांचं रक्षण करणे आपले कर्तव्य आहे.,mr,unknown,female
003603.wav,जमिनीवर तीन-चार फूट कठडा करून घाण व बाहेरचे पाणी आत जाण्यापासून रोखावे तसेच वरून झाकण लावावे.,mr,unknown,female
006522.wav,म्हणूनच त्रिसरणातलं हे एक सरण आहे.,mr,unknown,male
008127.wav,"नास्तिक, धर्माचरण न करणाऱ्या मानवी पशूची क्रूरताच निसर्गाला सूड घ्यायला भाग पडते.",mr,unknown,male
002985.wav,नंतर त्याने आपल्या संपत्तीचा अर्धा वाटा म्हणजे चाळीस कोटी वराह आपल्या मित्राला दिले.,mr,unknown,female
002755.wav,"दोन तरुण लढवय्यांच्या मदतीने अरण्यमलने गणाचारीचे कपट उघडे करुन, त्याला वाघांपुढे मरण्यास टाकले.",mr,unknown,female
000669.wav,"साकमश्वाला ह्या कोड्याचे वेडच लागले, त्याने निश्चय केला, की मी हे कोडे जिंकीनच.",mr,unknown,female
000096.wav,"शेवटी मला कॉलेज ला उशीर होतोय, आपण उद्या पुन्हा इथेच भेटू अस बोलून ती निघून गेली.",mr,unknown,female
001286.wav,एकदा तो प्रधान शिकारीसाठी रानात बराच दूरवर गेला असता त्याला एका झाडाखाली जप करीत बसलेला साधू दिसला.,mr,unknown,female
008710.wav,"मी कुठे काय केले, मोंटू ओशाळून म्हणाला.",mr,unknown,male
001651.wav,टीना तिच्या आई-वडिलांची एकुलती एक मुलगी होती म्हणून तिचे सर्व लाड पुरवले जात होते.,mr,unknown,female
003799.wav,एकवीस व्या वर्षी लग्न केले व स्टर्लिंग रिसॉर्टचे काम हाती घेतले.,mr,unknown,female
003248.wav,या सगळ्यांचे महत्व वेगळ्या पद्धतीने जाणवू लागले आहे.,mr,unknown,female
007714.wav,"मुनिवर्य डोळे मिटून ध्यानमग्न झाले होते, ते त्या राजाशी काय बोलणार?",mr,unknown,male
010757.wav,आईच्या ह्या प्रश्नाने नीनाला निरुत्तर केले.,mr,unknown,female
006253.wav,भीमा कोरेगाव येथे ब्रिटीश कंपनीच्या कॅप्टनला बोलावले.,mr,unknown,male
009241.wav,स्टेशनवरून एक जड बॅग घेऊन येणारा माणूस दिसला त्याला हमाल हवा होता.,mr,unknown,male
007136.wav,कास्ट्राईब कर्मचारी महासंघाच्या रौप्यमहोत्सवी वर्षानिमित्त राज्यस्तरीय कर्मचारी अधिवेशन रत्नागिरी येथे झाले.,mr,unknown,male
010340.wav,"भिल्ल राजाचीच ती मुलगी, लहानपणी तीही लहानसे धनुष्य घेऊन हरणांच्या पाठीमागे लागे.",mr,unknown,female
002603.wav,सर्वात अगोदर तर अत्याधिक उजेड खगोलशास्त्रविषयी अवलोकनांत नुकसानदेह साबित होउ शकतो.,mr,unknown,female
009749.wav,त्याने त्याला गावापर्यंत सुखरूप सोडले.,mr,unknown,male
007774.wav,त्या वेळी मुलांना शिकण्यासाठी दूर अरण्यात एखाद्या ऋषीजवळ पाठवीत असत.,mr,unknown,male
005757.wav,"धार्मिक, दहशतवादी मग ते कोणत्याही धर्माचे असोत.",mr,unknown,male
010025.wav,हाताशी आलेले धन गेले म्हणून नाभाचा फारच हिरमोड झाला.,mr,unknown,male
010223.wav,"अपराध करणाऱ्याचे नाव देवासमोर सांगण्यात येई, त्याला दुसरी शिक्षा नसे.",mr,unknown,female
000851.wav,दात्याची सेवा करण्यास वामनाने बळीराजाचे द्वारपाल होण्याचे काम स्वीकारले.,mr,unknown,female
006045.wav,"गरीब मजूर, शेतकरी यांची मुले एक विषयइंग्रजी भाषा इंग्रजीतून शिकतात.",mr,unknown,male
000361.wav,दिवसभर दुसऱ्याकडे पोटासाठी राबणारी ती गरीब बाई मुलाला आणायला कशी जाणार ?,mr,unknown,female
000840.wav,या दिवशी बळी पाताळात गाडला गेला.,mr,unknown,female
001487.wav,बाबाही समाधानाने स्वयंपाकघरात जेवणाची पान घ्यायला वळला.,mr,unknown,female
002456.wav,त्यांच्या हातात बकुल फुलांच्या माळा होत्या.,mr,unknown,female
005769.wav,महाराष्ट्रात हिंदूंच्या परंपरेनुसार चैत्र महिना हा नव्या वर्षाचा प्रारंभ मानला जातो.,mr,unknown,male
000102.wav,साधारण माझ्याच वयाचा पण उंचीने माझ्याहून चार बोटे उंच असलेला एक तरुण होता तो.,mr,unknown,female
008242.wav,"सांग, मित्रा, तुझं मत सांग, तुला जे खरोखर वाटत असेल ते सांग.",mr,unknown,male
007329.wav,त्यांची कदरही तितकीच करायला पाहिजे.,mr,unknown,male
004339.wav,मोठे स्नो स्टॉर्म येणार आहे वीकएन्डला.,mr,unknown,female
002496.wav,"नारद निराश्रित होऊन, भुकेने जीव कासावीस झाल्यासारखा दारोदारी फिरू लागला.",mr,unknown,female
008616.wav,एक दिवस सकाळी सकाळी ऑफिसमधला टेलिफोन खणखणला.,mr,unknown,male
006023.wav,आणि मुळात आपल्याला इंग्रजी बोलता येत नाही हा न्यूनगंड मनातून काढूनच टाका.,mr,unknown,male
002448.wav,"भाचा आहेस म्हणून, माझ्यासाठी आणखी एक काम वाढवून ठेवलेस ना?",mr,unknown,female
000409.wav,त्या वेळी त्यागराजांच्या डोक्यात प्रकाश पडला.,mr,unknown,female
008639.wav,तिच्या सवंगडयांना भेटायला ती आकाशात दूरवर उडाली आहे.,mr,unknown,male
004105.wav,"घाशीराम तक्क्यावर अधिकच रेलत बोलले, 'साबाजी, ऐक.",mr,unknown,female
000933.wav,"रात्रीच्या वेळी सगळ्यांनी एकत्र बसून जेवणे, हे तुमच्या कौटुंबिक सौख्यासाठी चांगले आहे.",mr,unknown,female
008803.wav,असे म्हणत असतांनाच त्याच्या टेबलवर एक पिवळा-नारिंगी प्रकाश भुवनला दिसला.,mr,unknown,male
007679.wav,"कृपा करुन यांच्यात चैतन्य आणा, यांना संजीवन द्या.",mr,unknown,male
004542.wav,मला त्याचे टायटल साँग खूप आवडायचे बघायला.,mr,unknown,female
010253.wav,"मी कशाला कोणाला मारू, मी आधीच दुःखाने मेलो आहे.",mr,unknown,female
007539.wav,"तेव्हा 'हा देशद्रोही आहे', असे म्हणून वीरमती चवताळलेल्या वाघिणीसारखी त्याच्या अंगावर धावली.",mr,unknown,male
000519.wav,"त्यांनी शृंगीला ती वार्ता सांगितली, तेव्हा शृंगी म्हणाला, मित्रांनो, आता आपण आश्रमात जाऊ या!",mr,unknown,female
004004.wav,"तशी बाय खणखणीत आवाजात म्हणाली `तीन आणे मोजून दिलंय त्येका,' `त्यांनी ते घेतलं?",mr,unknown,female
010547.wav,"आणखीन खात्री करुन घेण्यासाठी त्याने आपल्या मुलाला घेऊन जाणा-या बाईला विचारले, ह्याचा जन्म कधी झाला.",mr,unknown,female
003356.wav,"आपणांस सर्वाना माहिती आहे की, जी विद्युत ऊर्जा आपण वापरतो ती निर्माण करणेसाठी हजारों टन कोळसा जाळला जातो.",mr,unknown,female
001023.wav,"मनूनेच तो खून केला असावा, असे सर्वांचे मत पडले.",mr,unknown,female
003471.wav,पिटयुटरी या मेंदूखालच्या ग्रंथीतून येणा-या संप्रेरकांमुळे शरीराची वाढ होते.,mr,unknown,female
004986.wav,हे प्राणी फार लाजरे असतात व मनुष्यांपासून लांबच राहातात.,mr,unknown,male
010085.wav,खूप खूप झाडांचे मिळून जंगल होते.,mr,unknown,male
006536.wav,घरोघरी स्वागताच्या गुढ्या उभारण्यात येत आहेत.,mr,unknown,male
001852.wav,"तो मासा, कसेबसे श्वास घेत कोळयाला म्हणाला, बाबा रे, मी तुझ्याकडे माझ्या प्राणांची भीक मागतो.",mr,unknown,female
