audio_file,text,language,speaker,source_file
005466.wav,"their crimes follow in the lines of others already found, and often more than once, in the calendars.",en,LJSpeech_single_speaker,LJ018-0329.wav
002609.wav,jewel-boxes cleverly stolen under the very noses of owners or care-takers.,en,LJSpeech_single_speaker,LJ010-0018.wav
003586.wav,"Thither Elder went alone, provided with a number of canvas and one large carpet-bag.",en,LJSpeech_single_speaker,LJ013-0089.wav
003379.wav,"Thurtell drove him down in a gig, ""to be killed as he traveled,"" in Thurtell's own words.",en,LJSpeech_single_speaker,LJ012-0178.wav
009953.wav,"When he entered the homicide and robbery bureau office, he saw two detectives standing there with Sgt. Gerald L. Hill,",en,LJSpeech_single_speaker,LJ038-0071.wav
005332.wav,"His regular trade, followed before he took to the life of resurrectionist, was that of an engraver.",en,LJSpeech_single_speaker,LJ018-0195.wav
010497.wav,"Significant in shaping the character of Lee Harvey Oswald was the death of his father, a collector of insurance premiums.",en,LJSpeech_single_speaker,LJ040-0063.wav
004074.wav,His method was to obtain advances twice over on the same bills of lading or corn warrants. The duplicates were forged.,en,LJSpeech_single_speaker,LJ014-0312.wav
009755.wav,serial number V510210.,en,LJSpeech_single_speaker,LJ037-0142.wav
003976.wav,a fine young officer who had been summoned to take Cannon into custody when the latter was drunk and riotous in front of a public-house.,en,LJSpeech_single_speaker,LJ014-0212.wav
005624.wav,"sometimes it embraced the tread-wheel or the newly-invented instruments known as cranks, which ground air.",en,LJSpeech_single_speaker,LJ019-0089.wav
012692.wav,A number of bills were introduced immediately following the assassination of President Kennedy.,en,LJSpeech_single_speaker,LJ049-0099.wav
001990.wav,"for the murder of his cabin-boy, whom he stabbed after much ill-usage on board the ship as it lay in the Tagus.",en,LJSpeech_single_speaker,LJ008-0021.wav
006246.wav,"I believe with Abraham Lincoln, that ""The legitimate object of government is to do for a community of people",en,LJSpeech_single_speaker,LJ021-0205.wav
002799.wav,"Hannibal and Ethelred were on the council; Anthony, Augustus, and Frederic were among the generals;",en,LJSpeech_single_speaker,LJ010-0208.wav
001845.wav,"As a rule, visitors, many of them persons of good position, came and went all day long, and as late as nine at night;",en,LJSpeech_single_speaker,LJ007-0119.wav
002120.wav,"but in the beginning of 1807 one of them, at that time just sentenced to transportation,",en,LJSpeech_single_speaker,LJ008-0151.wav
005633.wav,"and the question was once more taken up in the House of Commons. In 1849 Mr. Charles Pearson, M.P.,",en,LJSpeech_single_speaker,LJ019-0098.wav
004740.wav,"Nevertheless, in the very next session",en,LJSpeech_single_speaker,LJ016-0328.wav
010872.wav,His use of those excuses to present himself to the world as a person who was being unfairly treated,en,LJSpeech_single_speaker,LJ041-0198.wav
010147.wav,"Unless the missile or cartridge case can be identified as coming from a particular weapon to the exclusion of all others,",en,LJSpeech_single_speaker,LJ038-0267.wav
004692.wav,"There were well-dressed and ill-dressed, old men and lads, women and girls.",en,LJSpeech_single_speaker,LJ016-0280.wav
004044.wav,"which he had paid into his own bankers, and on this he was committed to Newgate for trial.",en,LJSpeech_single_speaker,LJ014-0281.wav
009816.wav,"S and W Special two-inch Commando, serial number V510210, end quote,",en,LJSpeech_single_speaker,LJ037-0203.wav
010598.wav,The possibility of commitment was to be considered only if the probation plan was not successful.,en,LJSpeech_single_speaker,LJ040-0164.wav
007673.wav,"but only part, and that a small part, of the great tower, which God hath suffered to stand",en,LJSpeech_single_speaker,LJ028-0415.wav
005221.wav,While in Newgate awaiting trial he frequently tried to justify his murder by declaring that the police officer had broken faith with him.,en,LJSpeech_single_speaker,LJ018-0084.wav
004922.wav,"Palmer was ably defended, but the weight of evidence was clearly with the prosecution, led by Sir Alexander Cockburn,",en,LJSpeech_single_speaker,LJ017-0067.wav
010276.wav,"Characterizing the four-power scope as, quote, a real aid, an extreme aid, end quote, in rapid fire shooting,",en,LJSpeech_single_speaker,LJ039-0090.wav
000009.wav,"Printing, then, for our purpose, may be considered as the art of making books by means of movable types.",en,LJSpeech_single_speaker,LJ001-0009.wav
008108.wav,"In the downtown area, large crowds of spectators gave the President a tremendous reception.",en,LJSpeech_single_speaker,LJ030-0118.wav
009239.wav,He had been proceeding toward the rear of the lunchroom.,en,LJSpeech_single_speaker,LJ035-0054.wav
004654.wav,"This generally produces instantaneous death, although cases where complete fracture of the spinal cord occurred are said to be rare.",en,LJSpeech_single_speaker,LJ016-0240.wav
003699.wav,Coolness amounting almost to effrontery gave way to hopeless dejection.,en,LJSpeech_single_speaker,LJ013-0202.wav
007904.wav,"Elm Street was to be reached from Main by turning right at Houston,",en,LJSpeech_single_speaker,LJ029-0127.wav
010845.wav,And I remember his voice cracked as he said this. He was definitely disturbed at what I had said and I didn't really think I had said that much.,en,LJSpeech_single_speaker,LJ041-0171.wav
001714.wav,and was in the habit of drawing frequently upon the female prison for prisoners to act as domestic servants in his own private dwelling.,en,LJSpeech_single_speaker,LJ006-0296.wav
009998.wav,"When Captain Fritz asked him why he carried the revolver, he answered, quote, Well, you know about a pistol. I just carried it, end quote.",en,LJSpeech_single_speaker,LJ038-0116.wav
011389.wav,Oswald's statements suggest that he hoped to be flooded with callers and invitations to debate.,en,LJSpeech_single_speaker,LJ044-0076.wav
007468.wav,Nabonidus was taken prisoner in Babylon. On the third of Marchesvan Cyrus entered Babylon and proclaimed peace to all the city.,en,LJSpeech_single_speaker,LJ028-0210.wav
012028.wav,"According to Special Agent in Charge Bouck,",en,LJSpeech_single_speaker,LJ046-0227.wav
010783.wav,"The hearing officer agreed with the latter claim but found Oswald guilty of wrongfully using provoking words and sentenced him to 28 days,",en,LJSpeech_single_speaker,LJ041-0109.wav
009970.wav,The results were positive for the hands and negative for the right cheek.,en,LJSpeech_single_speaker,LJ038-0088.wav
009024.wav,"In evaluating the significance of these fingerprint and palmprint identifications,",en,LJSpeech_single_speaker,LJ034-0057.wav
002440.wav,"First came the sheriffs, the under-sheriffs, and several aldermen and city officials, then Lord Powerscourt and several other peers of the realm.",en,LJSpeech_single_speaker,LJ009-0153.wav
000928.wav,"The untried, and in the eyes of the law still innocent, could claim pure air, wholesome and sufficient food, and opportunities for exercise.",en,LJSpeech_single_speaker,LJ004-0058.wav
005844.wav,The main object of this act was to compass that uniformity in discipline and treatment generally,en,LJSpeech_single_speaker,LJ019-0309.wav
003692.wav,induced the prisoner to make a full confession of his crime to the lawyers who defended him.,en,LJSpeech_single_speaker,LJ013-0195.wav
007112.wav,Internal organs may persist unchanged and hence they offer good guides to classification.,en,LJSpeech_single_speaker,LJ027-0032.wav
008684.wav,"After comparing the rifle in the simulated photograph with the rifle in Exhibit No. 133-A, Shaneyfelt testified, quote,",en,LJSpeech_single_speaker,LJ032-0206.wav
009268.wav,Howlett was not short winded at the end of either test run.,en,LJSpeech_single_speaker,LJ035-0083.wav
007953.wav,with Dallas scheduled as one of the stops.,en,LJSpeech_single_speaker,LJ029-0176.wav
012941.wav,they should be responsible for advising the Secret Service if information develops indicating the existence of an assassination plot,en,LJSpeech_single_speaker,LJ050-0119.wav
010154.wav,"superintendent of the Illinois Bureau of Criminal Identification and Investigation, conducted an independent examination of this bullet",en,LJSpeech_single_speaker,LJ038-0274.wav
004919.wav,"he made use of the remarkable words, quote, If it is necessary for my soul's sake to confess this murder,",en,LJSpeech_single_speaker,LJ017-0064.wav
004879.wav,"and as Fenning, although convicted and executed, protested her innocence in the most solemn manner to the last,",en,LJSpeech_single_speaker,LJ017-0024.wav
012217.wav,"that Oswald was living alone in Dallas because she did not want him staying at her house, although she was willing to let Oswald visit his wife and children.",en,LJSpeech_single_speaker,LJ047-0162.wav
011538.wav,Oswald had expressed approval of President Kennedy's active role in the area of civil rights.,en,LJSpeech_single_speaker,LJ044-0226.wav
010429.wav,"(3) was present, at the time of the assassination, at the window from which the shots were fired",en,LJSpeech_single_speaker,LJ039-0243.wav
002981.wav,several persons were sentenced to or suffered death for this crime.,en,LJSpeech_single_speaker,LJ011-0073.wav
003985.wav,"On the contrary, many of them encouraged the brutal assailant in his savage attack.",en,LJSpeech_single_speaker,LJ014-0221.wav
001985.wav,"Lawrence Jones, a burglar, was in 1793 ordered for execution in Hatton Garden, near the house he had robbed;",en,LJSpeech_single_speaker,LJ008-0016.wav
009899.wav,"Attracted by the sound of the sirens, Mrs. Postal stepped out of the box office and walked to the curb.",en,LJSpeech_single_speaker,LJ038-0017.wav
002321.wav,The sheriffs were in one gallery;,en,LJSpeech_single_speaker,LJ009-0034.wav
002329.wav,Upon the occasion which I am describing they were four in number; and here I will continue the narrative in Mr. Wakefield's own words:,en,LJSpeech_single_speaker,LJ009-0042.wav
010703.wav,"Oswald started to read Communist literature, which he obtained from the public library.",en,LJSpeech_single_speaker,LJ041-0029.wav
006423.wav,"There is need for legislation providing for the regulation of interstate transportation by buses and trucks,",en,LJSpeech_single_speaker,LJ022-0172.wav
009956.wav,"and pick up a man named Lee Oswald. When Hill asked why Oswald was wanted,",en,LJSpeech_single_speaker,LJ038-0074.wav
005710.wav,Well-founded complaints had been made of the want of heating appliances in the jail.,en,LJSpeech_single_speaker,LJ019-0175.wav
010472.wav,Such ideas of grandeur were apparently accompanied by notions of oppression.,en,LJSpeech_single_speaker,LJ040-0038.wav
010971.wav,"to attend a university in Moscow, but they gave him a monthly allowance of 700 rubles a month",en,LJSpeech_single_speaker,LJ042-0095.wav
009491.wav,because of the overwhelming evidence that Oswald was far away from the building by that time.,en,LJSpeech_single_speaker,LJ036-0096.wav
010992.wav,"Under the entry for May 1, 1960,",en,LJSpeech_single_speaker,LJ042-0116.wav
002253.wav,"on the one hand the gallows, on the other a short imprisonment.",en,LJSpeech_single_speaker,LJ008-0285.wav
001748.wav,"After locking-up time, which varied, as on the male side, according to the daylight, the scenes were often riotous and disgraceful.",en,LJSpeech_single_speaker,LJ007-0022.wav
005373.wav,"One large item of his expenditure was a contested election at Lambeth, which he gained at a cost of £10,000.",en,LJSpeech_single_speaker,LJ018-0236.wav
004631.wav,"On one particular occasion, however, he got them. A gentleman whose sins brought him to the gallows at Maidstone",en,LJSpeech_single_speaker,LJ016-0217.wav
001656.wav,"There was a disturbance in the transport yard yesterday evening, and the police were called in.|There was a disturbance in the transport yard yesterday evening, and the police were called in.",en,LJSpeech_single_speaker,LJ006-0238.wav
006910.wav,"In fact, the bean obtains two of the absolutely indispensable elements of its substance from two distinct sources.",en,LJSpeech_single_speaker,LJ025-0172.wav
006021.wav,One word with regard to getting up early in order to give dough a chance for the second rising.,en,LJSpeech_single_speaker,LJ020-0087.wav
011750.wav,"Whether he thought about assassinating the President over the weekend can never be known, but it is reasonably certain",en,LJSpeech_single_speaker,LJ045-0199.wav
000543.wav,"This was the pernicious plan of governing by prisoners, or of setting a favored few in authority over the many.",en,LJSpeech_single_speaker,LJ003-0020.wav
005804.wav,More animal food was given than was necessary.,en,LJSpeech_single_speaker,LJ019-0269.wav
006441.wav,"These measures I have mentioned are, in large part, the program which under my constitutional duty I have recommended to the Congress.",en,LJSpeech_single_speaker,LJ022-0190.wav
000100.wav,"and these somewhat wiry letters are suitable for the machine process, which would not do justice to letters of more generous design.",en,LJSpeech_single_speaker,LJ001-0100.wav
011070.wav,"they should not be confused with slowness, indecision or fear. Only the intellectually fearless could even be remotely attracted to our doctrine,",en,LJSpeech_single_speaker,LJ042-0194.wav
007210.wav,these evidences have been in the past thirty years somewhat overshadowed by the far more surprising evidences,en,LJSpeech_single_speaker,LJ027-0130.wav
002792.wav,"Young England was a secret society, with no aim or object.",en,LJSpeech_single_speaker,LJ010-0201.wav
001627.wav,"the donation of a philanthropic gentleman, Captain Brown, but these, particularly the Bibles, bore little appearance of having been used.",en,LJSpeech_single_speaker,LJ006-0209.wav
004103.wav,"The course of the swindlers was by no means smooth, but it was not till 1854 that suspicion arose that anything was wrong.",en,LJSpeech_single_speaker,LJ015-0002.wav
001011.wav,"The hospital was filled with infectious cases, and in one room, seven feet by nine, with closed windows,",en,LJSpeech_single_speaker,LJ004-0141.wav
012073.wav,"for the purpose of correlating information inasmuch as he was considered a possible security risk in the event he returned to this country, end quote.",en,LJSpeech_single_speaker,LJ047-0018.wav
000773.wav,the culprit was chained down to the floor by running a chain through his irons which prevented him from climbing to the window of his cell.,en,LJSpeech_single_speaker,LJ003-0250.wav
012794.wav,incident to its responsibilities.,en,LJSpeech_single_speaker,LJ049-0202.wav
002944.wav,but the result in both cases was unfavorable.,en,LJSpeech_single_speaker,LJ011-0036.wav
004990.wav,"Dove, a fiendish brute, found from the evidence in that case that he could kill his wife, whom he hated,",en,LJSpeech_single_speaker,LJ017-0135.wav
003781.wav,"A letter, which afforded an additional clue, was also found in the pocket of the deceased. Still it was many weeks before any arrest was made.",en,LJSpeech_single_speaker,LJ014-0016.wav
005225.wav,I propose next to describe the leading features of the most important of these.,en,LJSpeech_single_speaker,LJ018-0088.wav
004111.wav,Cole now suspended payment.,en,LJSpeech_single_speaker,LJ015-0010.wav
005959.wav,"One quart of Graham flour, one cup of white flour.",en,LJSpeech_single_speaker,LJ020-0025.wav
007299.wav,"In the year six eighty-nine B.C., Sinacherib, King of Nineveh, captured Babylon,",en,LJSpeech_single_speaker,LJ028-0040.wav
011553.wav,"Chapter 7. Lee Harvey Oswald: Background and Possible Motives, Part 6.",en,LJSpeech_single_speaker,LJ045-0002.wav
010129.wav,Investigation determined that this photograph was taken approximately seven-tenths of a mile from Walker's house.,en,LJSpeech_single_speaker,LJ038-0249.wav
006587.wav,"judges who will retain in the courts the judicial functions of a court,",en,LJSpeech_single_speaker,LJ023-0133.wav
012316.wav,Neither believed that the Bureau investigation of him up to November 22 revealed any information which would have justified referral to the Secret Service.,en,LJSpeech_single_speaker,LJ048-0011.wav
011737.wav,He must have planned his attack at the very latest prior to Thursday morning when he spoke to Frazier.,en,LJSpeech_single_speaker,LJ045-0186.wav
001374.wav,"The committee was also to report upon the manner in which sentences were carried out, and to recommend any alterations necessary in the rules",en,LJSpeech_single_speaker,LJ005-0255.wav
005682.wav,"this occurred in summer at eight, but in the winter months it took place at dusk, and was often as early as four or five.",en,LJSpeech_single_speaker,LJ019-0147.wav
002190.wav,"of those who had shown the white, and those who had died game.",en,LJSpeech_single_speaker,LJ008-0222.wav
011335.wav,"he debated over radio station WDSU, New Orleans, with Carlos Bringuier,",en,LJSpeech_single_speaker,LJ044-0021.wav
005772.wav,"The Act for private executions led to the erection of the gallows shed in the exercising yard, and at the flank of the passage from the condemned cells.",en,LJSpeech_single_speaker,LJ019-0237.wav
002352.wav,"and the old clerk lifts up his cracked voice, saying, 'Let us sing to the praise and glory of God.'",en,LJSpeech_single_speaker,LJ009-0065.wav
010384.wav,but to determine the maximum speed at which it could be fired.,en,LJSpeech_single_speaker,LJ039-0198.wav
012592.wav,might have been more alert in the Dallas motorcade if they had retired promptly in Fort Worth.,en,LJSpeech_single_speaker,LJ048-0288.wav
002070.wav,"exuberant in talk and hissing hot from Pie Corner, where she had taken her morning dose of gin-and-bitters.",en,LJSpeech_single_speaker,LJ008-0101.wav
010802.wav,"Even though Oswald apparently did not express any hostility against the President or Governor Connally,",en,LJSpeech_single_speaker,LJ041-0128.wav
012765.wav,"As the testimony of J. Edgar Hoover and other Bureau officials revealed, the FBI did not believe that its directive required the Bureau",en,LJSpeech_single_speaker,LJ049-0173.wav
008659.wav,"Although Stombaugh was unable to estimate the period of time the fibers were on the rifle he said that the fibers, quote,",en,LJSpeech_single_speaker,LJ032-0181.wav
008740.wav,with the rifle wrapped inside and testified that it appeared to be the same approximate weight and shape as the package in his garage.,en,LJSpeech_single_speaker,LJ032-0262.wav
003752.wav,The victim was the first of these three.,en,LJSpeech_single_speaker,LJ013-0255.wav
001384.wav,It was recommended that the dietaries should be submitted and approved like the rules; that convicted prisoners should not receive any food but the jail allowance;,en,LJSpeech_single_speaker,LJ005-0265.wav
008486.wav,"This evidence includes (1) the ownership and possession of the weapon used to commit the assassination,",en,LJSpeech_single_speaker,LJ032-0008.wav
005226.wav,Another case of long-continued successful forgery was brought to light two years after the convictions of Saward and his accomplices.,en,LJSpeech_single_speaker,LJ018-0089.wav
009933.wav,Two patrons of the theatre and John Brewer,en,LJSpeech_single_speaker,LJ038-0051.wav
006256.wav,It has made and is making distinct progress.,en,LJSpeech_single_speaker,LJ022-0005.wav
009151.wav,"In his testimony he said, quote, I told them that that could have been the man.",en,LJSpeech_single_speaker,LJ034-0185.wav
012631.wav,had no passenger in a jump seat between Agent Youngblood and Vice President Johnson to interfere with Agent Youngblood's ability,en,LJSpeech_single_speaker,LJ049-0038.wav
009265.wav,"the second test, at a ""fast walk"" took 1 minute, 14 seconds.",en,LJSpeech_single_speaker,LJ035-0080.wav
009892.wav,a recessed area extending about 15 feet between the sidewalk and the front door of his store.,en,LJSpeech_single_speaker,LJ038-0010.wav
012593.wav,"However, there is no evidence that these men failed to take any action in Dallas within their power that would have averted the tragedy.",en,LJSpeech_single_speaker,LJ048-0289.wav
005509.wav,"mutinied, murdered the captain and mates, sparing the steward only on condition that he would navigate the ship to the Mediterranean.",en,LJSpeech_single_speaker,LJ018-0372.wav
010534.wav,"she would sometimes take Lee with her, apparently leaving him alone in the car while she transacted her business.",en,LJSpeech_single_speaker,LJ040-0100.wav
010297.wav,"head, Records Branch, Personnel Department, Headquarters U.S. Marine Corps,",en,LJSpeech_single_speaker,LJ039-0111.wav
008887.wav,Frazier could easily have been mistaken when he stated that Oswald held the bottom of the bag cupped in his hand with the upper end tucked into his armpit.,en,LJSpeech_single_speaker,LJ033-0134.wav
000869.wav,It was very desirable that there should be a more speedy removal of transports from Newgate to the ships.,en,LJSpeech_single_speaker,LJ003-0347.wav
006102.wav,"The emergency purpose of the N.R.A. was to put men to work and since its creation more than four million persons have been reemployed,",en,LJSpeech_single_speaker,LJ021-0061.wav
003860.wav,"On the third day his friends began to inquire for him,",en,LJSpeech_single_speaker,LJ014-0095.wav
012029.wav,the Secret Service had no standard procedure for the systematic review of its requests for and receipt of information from other Federal agencies.,en,LJSpeech_single_speaker,LJ046-0228.wav
003064.wav,"While on a visit to Macclesfield he heard by chance of Miss Turner, and that she would inherit all her father's possessions.",en,LJSpeech_single_speaker,LJ011-0156.wav
012954.wav,the Commission notes with approval several recent measures taken and proposed by the Secret Service to improve its liaison arrangements.,en,LJSpeech_single_speaker,LJ050-0132.wav
003388.wav,"one of his accomplices, who took the police to the pond, where the remains of the unfortunate Mr. Weare were discovered, sunk in a sack weighted by stones.",en,LJSpeech_single_speaker,LJ012-0187.wav
006015.wav,"and knead for ten minutes, carefully at first, lest the liquids should be wasted, and more boldly when they are absorbed by the paste.",en,LJSpeech_single_speaker,LJ020-0081.wav
010827.wav,at least in the unit to which he was assigned after his return from the Far East.,en,LJSpeech_single_speaker,LJ041-0153.wav
008725.wav,during the summer of 1963.,en,LJSpeech_single_speaker,LJ032-0247.wav
008399.wav,Secret Service agents stationed at later stops on the President's itinerary of November 22 were redeployed.,en,LJSpeech_single_speaker,LJ031-0154.wav
001115.wav,"Painters, plasterers, and carpenters were allowed to follow their handicrafts, with the reward of sixpence per diem and a double allowance of food.",en,LJSpeech_single_speaker,LJ004-0245.wav
005528.wav,"Mr. Bamell Oakley made a rich harvest for a time, and was said at the time of his trial",en,LJSpeech_single_speaker,LJ018-0391.wav
003083.wav,Wakefield found it necessary to become more explicit regarding her father's affairs.,en,LJSpeech_single_speaker,LJ011-0175.wav
009310.wav,"Victoria Adams, who worked on the fourth floor of the Depository Building,",en,LJSpeech_single_speaker,LJ035-0125.wav
003329.wav,"A young man named Caspar, clerk to a steam-ship company,",en,LJSpeech_single_speaker,LJ012-0128.wav
004337.wav,"Burgess admitted him into the guard's van, where he fitted and filed the keys till they worked easily and satisfactorily in the locks of the safe.",en,LJSpeech_single_speaker,LJ015-0236.wav
001324.wav,"At Eye, in Suffolk, the jail was part of the poor-house; so it was at Richmond, in Yorkshire, where the master of the workhouse was also keeper of the jail.",en,LJSpeech_single_speaker,LJ005-0205.wav
008452.wav,The Secret Service established a communication system with the White House and screened all telephone calls and visitors.,en,LJSpeech_single_speaker,LJ031-0207.wav
011673.wav,"While Oswald's concern about the FBI had some basis in fact, in that FBI agents had interviewed him in the past and had renewed their interest",en,LJSpeech_single_speaker,LJ045-0122.wav
007713.wav,It seems that the circuit of the outer wall was about eleven miles.,en,LJSpeech_single_speaker,LJ028-0455.wav
008800.wav,"I noticed when I went out that the light was on, end quote,",en,LJSpeech_single_speaker,LJ033-0047.wav
003574.wav,"Barber and Fletcher were both transported for life, although Fletcher declared that Barber was innocent, and had no guilty knowledge of what was being done.",en,LJSpeech_single_speaker,LJ013-0077.wav
007308.wav,"and in that same year Nabopolassar, the father of the great Nebuchadnezzar, became the King of Babylon.",en,LJSpeech_single_speaker,LJ028-0049.wav
005946.wav,"While still hot, mix in the sugar and butter, beating all to a lumpless cream.",en,LJSpeech_single_speaker,LJ020-0012.wav
012980.wav,the Department hopes to design a practical system which will fully meet the needs of the Protective Research Section of the Secret Service.,en,LJSpeech_single_speaker,LJ050-0158.wav
010296.wav,"Based on the general Marine Corps ratings, Lt. Col. A. G. Folsom, Jr.",en,LJSpeech_single_speaker,LJ039-0110.wav
001419.wav,"and the establishment of municipal institutions upon a proper footing,",en,LJSpeech_single_speaker,LJ005-0300.wav
013029.wav,"Although Chief Rowley does not complain about the pay scale for Secret Service agents,",en,LJSpeech_single_speaker,LJ050-0207.wav
001044.wav,Confinement for twelve months in the Bristol jail was counted a punishment equivalent to seven years' transportation.,en,LJSpeech_single_speaker,LJ004-0174.wav
005217.wav,Sattler was tried for murder and convicted;,en,LJSpeech_single_speaker,LJ018-0080.wav
006828.wav,"and resemblances between the constituents of animal and vegetable organisms, for which Cuvier is not responsible,",en,LJSpeech_single_speaker,LJ025-0090.wav
011583.wav,"She testified that after his return from Mexico Oswald, quote, changed for the better.",en,LJSpeech_single_speaker,LJ045-0032.wav
000036.wav,But about the same year Mentelin at Strasburg began to print in a type which is distinctly Roman;,en,LJSpeech_single_speaker,LJ001-0036.wav
